"","Parcel","Year","Date","Tran_Name","Species","Green","Live","Hit"
"1","PLC219",2022,2022-07-28,"5","SAVE4",8,5,13
"2","PLC219",2022,2022-07-28,"54","SAVE4",4,2,6
"3","PLC219",2022,2022-07-28,"54","ATCO",2,0,2
"4","PLC219",2022,2022-07-28,"23","SAVE4",3,1,4
"5","PLC219",2022,2022-07-28,"23","ATCO",1,0,1
"6","PLC219",2022,2022-07-28,"23","SPAI",10,0,10
"7","PLC219",2022,2022-07-28,"23","MACA17",6,0,6
"8","PLC219",2022,2022-07-28,"45","SAVE4",7,3,10
"9","PLC219",2022,2022-07-28,"45","ATCO",2,1,3
"10","PLC219",2022,2022-07-28,"45","SPAI",3,0,3
"11","PLC219",2022,2022-07-28,"45","MACA17",2,0,2
"12","PLC219",2022,2022-07-28,"66","SAVE4",8,5,13
"13","PLC219",2022,2022-07-28,"66","ATCO",1,0,1
"14","PLC219",2022,2022-07-28,"37","SAVE4",11,2,13
"15","PLC219",2022,2022-07-28,"37","ATCO",2,1,3
"16","PLC219",2022,2022-07-28,"46","SAVE4",1,0,1
"17","PLC219",2022,2022-07-28,"46","ATTO",5,4,9
"18","PLC219",2022,2022-07-28,"46","ERIOG",1,0,1
"19","PLC219",2022,2022-07-28,"46","ATPO",1,1,2
"20","PLC219",2022,2022-07-28,"22","SAVE4",10,2,12
"21","PLC219",2022,2022-07-28,"22","ATCO",3,0,3
"22","PLC219",2022,2022-07-28,"22","ATPO",0,2,2
"23","PLC219",2022,2022-07-28,"30","ATTO",12,5,17
"24","PLC219",2022,2022-07-28,"30","ERIOG",1,0,1
"25","PLC219",2022,2022-07-28,"30","ATPO",7,0,7
"26","PLC219",2022,2022-07-28,"71","SAVE4",10,3,13
"27","PLC219",2022,2022-07-28,"71","ATCO",2,0,2
"28","PLC219",2022,2022-07-28,"71","SUMO",1,0,1
"29","PLC219",2022,2022-07-28,"20","SAVE4",10,2,12
"30","PLC219",2022,2022-07-28,"20","MACA17",1,0,1
"31","PLC219",2022,2022-07-28,"43","SAVE4",11,5,16
"32","PLC219",2022,2022-07-28,"43","ATCO",1,1,2
"33","PLC219",2022,2022-07-28,"43","SUMO",8,0,8
"34","PLC219",2022,2022-07-28,"27","SAVE4",7,4,11
"35","PLC219",2022,2022-07-28,"27","MACA17",1,0,1
"36","PLC219",2022,2022-07-28,"27","SUMO",2,1,3
"37","PLC219",2022,2022-07-28,"27","ATCO",1,0,1
"38","PLC219",2022,2022-07-28,"82","SAVE4",1,1,2
"39","PLC219",2022,2022-07-28,"82","ATCO",3,1,4
"40","PLC219",2022,2022-07-28,"82","ATTO",0,1,1
"41","PLC219",2022,2022-07-28,"82","ERIOG",1,0,1
"42","PLC219",2022,2022-07-28,"82","SPAI",1,0,1
"43","PLC219",2022,2022-07-28,"70","SAVE4",7,2,9
"44","PLC219",2022,2022-07-28,"70","MACA17",2,0,2
"45","PLC219",2022,2022-07-28,"70","ATTO",2,0,2
"46","PLC219",2022,2022-07-28,"70","SPAI",4,0,4
"47","PLC219",2022,2022-07-28,"70","ERNA10",8,2,10
"48","PLC219",2022,2022-07-28,"70","DISP",1,0,1
"49","PLC219",2022,2022-07-28,"52","SAVE4",8,5,13
"50","PLC219",2022,2022-07-28,"52","ATCO",1,1,2
"51","PLC219",2022,2022-07-28,"44","SAVE4",6,2,8
"52","PLC219",2022,2022-07-28,"44","MACA17",1,0,1
"53","PLC219",2022,2022-07-28,"44","ATCO",5,2,7
"54","PLC219",2022,2022-07-27,"6","ATCO",2,0,2
"55","PLC219",2022,2022-07-27,"6","ERNA10",0,1,1
"56","PLC219",2022,2022-07-27,"6","SAVE4",5,4,9
"57","PLC219",2022,2022-07-27,"6","SUMO",0,1,1
"58","PLC219",2022,2022-07-27,"6","MACA17",1,0,1
"59","PLC219",2022,2022-07-27,"21","ATCO",1,1,2
"60","PLC219",2022,2022-07-27,"21","ARTR2",1,0,1
"61","PLC219",2022,2022-07-27,"21","SAVE4",3,3,6
"62","LAW029",2022,2022-07-25,"5","ATCO",3,0,3
"63","LAW029",2022,2022-07-25,"5","SAVE4",4,0,4
"64","LAW029",2022,2022-07-25,"5","ATCA2",1,0,1
"65","LAW029",2022,2022-07-25,"15","SAVE4",7,3,10
"66","LAW029",2022,2022-07-25,"15","ATCO",1,0,1
"67","LAW029",2022,2022-07-25,"19","SAVE4",4,1,5
"68","LAW029",2022,2022-07-25,"19","ATCO",2,0,2
"69","LAW029",2022,2022-07-25,"19","ATCA2",2,1,3
"70","LAW029",2022,2022-07-25,"19","SATR12",2,0,2
"71","LAW029",2022,2022-07-25,"6","SAVE4",9,3,12
"72","LAW029",2022,2022-07-25,"6","SUMO",3,0,3
"73","LAW029",2022,2022-07-25,"16","ATCO",2,3,5
"74","LAW029",2022,2022-07-25,"16","ATTO",4,2,6
"75","LAW029",2022,2022-07-25,"16","ERNA10",3,0,3
"76","LAW029",2022,2022-07-25,"10","ATTO",5,5,10
"77","LAW029",2022,2022-07-25,"10","DISP",9,7,16
"78","LAW029",2022,2022-07-25,"22","ATTO",8,3,11
"79","LAW029",2022,2022-07-25,"22","ALOC2",3,0,3
"80","LAW029",2022,2022-07-25,"22","ERNA10",1,2,3
"81","LAW029",2022,2022-07-25,"22","DISP",1,0,1
"82","LAW029",2022,2022-07-25,"1","ATTO",2,1,3
"83","LAW029",2022,2022-07-25,"1","ERNA10",7,0,7
"84","LAW029",2022,2022-07-25,"1","DISP",7,5,12
"85","LAW029",2022,2022-07-25,"11","ATTO",10,5,15
"86","LAW029",2022,2022-07-25,"14","ATTO",8,2,10
"87","LAW029",2022,2022-07-25,"14","ERNA10",6,0,6
"88","LAW029",2022,2022-07-25,"17","SUMO",2,0,2
"89","LAW029",2022,2022-07-25,"17","SAVE4",1,0,1
"90","LAW029",2022,2022-07-25,"7","SUMO",3,0,3
"91","LAW029",2022,2022-07-25,"7","ATCO",4,0,4
"92","LAW029",2022,2022-07-25,"7","SAVE4",2,2,4
"93","LAW029",2022,2022-07-25,"7","ATTO",1,1,2
"94","LAW029",2022,2022-07-25,"2","ATCO",0,2,2
"95","LAW029",2022,2022-07-25,"2","SAVE4",9,1,10
"96","LAW029",2022,2022-07-25,"2","ATTO",6,1,7
"97","LAW029",2022,2022-07-25,"18","SAVE4",2,1,3
"98","LAW029",2022,2022-07-25,"24","ATCO",5,1,6
"99","LAW029",2022,2022-07-25,"24","SAVE4",1,1,2
"100","LAW029",2022,2022-07-25,"23","ATCO",4,4,8
"101","LAW029",2022,2022-07-25,"23","SATR12",1,0,1
"102","LAW029",2022,2022-07-25,"25","SATR12",0,1,1
"103","LAW029",2022,2022-07-25,"25","ATCO",4,1,5
"104","LAW029",2022,2022-07-25,"25","SAVE4",1,0,1
"105","LAW029",2022,2022-07-25,"13","ATCO",5,1,6
"106","LAW029",2022,2022-07-25,"13","SATR12",1,0,1
"107","LAW029",2022,2022-07-25,"9","SAVE4",3,0,3
"108","LAW029",2022,2022-07-25,"9","ATTO",3,2,5
"109","LAW029",2022,2022-07-25,"9","SUMO",1,0,1
"110","LAW029",2022,2022-07-25,"21","ATCO",3,1,4
"111","LAW029",2022,2022-07-25,"21","ATTO",2,1,3
"112","LAW029",2022,2022-07-25,"21","SATR12",1,0,1
"113","LAW119",2023,2023-08-05,"53","ERIOG",2,0,2
"114","LAW119",2023,2023-08-05,"53","SATR12",6,0,6
"115","LAW119",2023,2023-08-05,"53","ERNA10",4,1,5
"116","LAW119",2023,2023-08-05,"22","ERIOG",2,0,2
"117","LAW119",2023,2023-08-05,"22","SATR12",2,0,2
"118","LAW119",2023,2023-08-05,"22","ERNA10",5,5,10
"119","LAW119",2023,2023-08-05,"17","SATR12",4,0,4
"120","LAW119",2023,2023-08-05,"17","ERNA10",6,12,18
"121","LAW119",2023,2023-08-05,"12","ERNA10",2,1,3
"122","LAW119",2023,2023-08-05,"12","SPAI",22,0,22
"123","LAW119",2023,2023-08-05,"12","IVAX",4,0,4
"124","LAW119",2023,2023-08-05,"12","ELEOC",14,0,14
"125","LAW119",2023,2023-08-05,"12","COCA5",3,0,3
"126","LAW119",2023,2023-08-05,"12","PACA6",14,0,14
"127","LAW119",2023,2023-08-05,"12","LELA2",3,0,3
"128","LAW119",2023,2023-08-05,"12","EPCI",4,0,4
"129","LAW119",2023,2023-08-05,"12","BAHY",7,0,7
"130","LAW119",2023,2023-08-05,"12","HEAN3",3,0,3
"131","LAW119",2023,2023-08-05,"12","JUARL",1,0,1
"132","LAW119",2023,2023-08-05,"12","SAVE4",0,2,2
"133","LAW119",2023,2023-08-05,"10","ATTO",4,8,12
"134","LAW119",2023,2023-08-05,"10","SAVE4",8,4,12
"135","LAW119",2023,2023-08-05,"10","BAHY",2,0,2
"136","LAW119",2023,2023-08-05,"10","ERNA10",3,4,7
"137","LAW119",2023,2023-08-05,"10","ATCO",0,2,2
"138","LAW119",2023,2023-08-05,"10","IVAX",3,0,3
"139","LAW119",2023,2023-08-05,"10","DISP",2,0,2
