Species_Code,parcel_group
ACHY,LAW90_94_95
ACSP12,LAW90_94_95
ELEL5,LAW90_94_95
AMDU2,LAW90_94_95
ATCA2,LAW90_94_95
ATCO,LAW90_94_95
ATPO,LAW90_94_95
EPNE,LAW90_94_95
ERIN4,LAW90_94_95
GRSP,LAW90_94_95
KRLA2,LAW90_94_95
LEFR2,LAW90_94_95
LYAN,LAW90_94_95
MESP2,LAW90_94_95
MIAL5,LAW90_94_95
PIDE4,LAW90_94_95
PSARM,LAW90_94_95
PSPO,LAW90_94_95
SAVE4,LAW90_94_95
SPAM2,LAW90_94_95
STEPH,LAW90_94_95
STPI,LAW90_94_95
TEAX,LAW90_94_95
TEGL,LAW90_94_95
XYTOT,LAW90_94_95
ERNA10,LAW90_94_95
ATTO,LAW90_94_95
ACHY,LAW118_129
ACSP12,LAW118_129
ATCA2,LAW118_129
ATCO,LAW118_129
ATPA3,LAW118_129
ATPO,LAW118_129
EPNE,LAW118_129
GRSP,LAW118_129
KRLA2,LAW118_129
LEFR2,LAW118_129
MACA17,LAW118_129
MESP2,LAW118_129
PIDE4,LAW118_129
PSARM,LAW118_129
PSPO,LAW118_129
SAVE4,LAW118_129
STEPH,LAW118_129
STPI,LAW118_129
TEAX,LAW118_129
TEGL,LAW118_129
ERNA10,LAW118_129
ATTO,LAW118_129
