parcel,station,lon,lat
TIN054,1.0,-118.2270876,37.0131077
TIN054,1.1,-118.2270669,37.0131161
TIN054,2.0,-118.2270362,37.0129651
TIN054,2.1,-118.226988,37.0129906
TIN054,3.0,-118.227136,37.0129203
TIN054,3.1,-118.2270785,37.0129431
TIN054,4.0,-118.227062,37.0128916
TIN054,4.1,-118.2270085,37.0129136
TIN054,5.0,-118.2269254,37.0128049
TIN054,5.1,-118.2269848,37.0128064
TIN054,6.0,-118.2271536,37.012847
TIN054,6.1,-118.2271083,37.0128678
TIN054,7.0,-118.227038,37.0128055
TIN054,7.1,-118.2270936,37.012806
TIN054,8.0,-118.2272228,37.0128645
TIN054,8.1,-118.2271833,37.012894
TIN054,9.0,-118.2272711,37.0128386
TIN054,9.1,-118.2273062,37.0128484
TIN054,10.0,-118.2273705,37.0128679
TIN054,10.1,-118.2274194,37.0128889
TIN054,11.0,-118.2274708,37.0129094
TIN054,11.1,-118.2275172,37.0129287
TIN054,12.0,-118.2276395,37.0130207
TIN054,12.1,-118.2275843,37.0130292
TIN054,13.0,-118.2275289,37.0130374
TIN054,13.1,-118.2274723,37.0130468
TIN054,14.0,-118.2274184,37.0130543
TIN054,14.1,-118.2273603,37.0130631
TIN054,15.0,-118.2273059,37.0130767
TIN054,15.1,-118.2272481,37.0130857
TIN054,16.0,-118.2272,37.0130901
TIN054,16.1,-118.2271434,37.0130992
