parcel,transect,species,hits
LAW118,1,ERNA10,72
LAW118,1,ATCA2,6
LAW118,1,DISP,2
LAW118,1,SATR12,39
LAW118,1,IVAX,4
LAW118,2,ERNA10,37
LAW118,2,ATCA2,29
LAW118,2,SATR12,58
LAW118,2,IVAX,3
LAW118,2,SPAI,2
LAW118,3,ERNA10,2
LAW118,3,ATCA2,22
LAW118,3,SATR12,52
LAW118,3,ATPO,6
LAW118,4,ERNA10,18
LAW118,4,ATCA2,25
LAW118,4,SATR12,36
LAW118,4,IVAX,2
LAW118,5,ERNA10,46
LAW118,5,ATCA2,35
LAW118,5,SATR12,18
LAW118,5,ATPO,5
LAW118,5,ACHY,1
LAW118,6,ERNA10,13
LAW118,6,ATCA2,15
LAW118,6,SATR12,52
LAW118,6,ATPO,5
LAW118,6,STPA4,1
LAW118,6,ERDE6,1
LAW118,7,ERNA10,14
LAW118,7,ATCA2,14
LAW118,7,SATR12,46
LAW118,7,ATPO,8
LAW118,7,SYAS3,1
LAW118,8,ERCI6,1
LAW118,8,COAR4,1
LAW118,8,LACO13,7
LAW118,8,SATR12,77
LAW118,8,KRLA2,1
LAW118,8,ERNA10,12
LAW118,8,ATCA2,9
LAW118,9,SATR12,38
LAW118,9,ERNA10,17
LAW118,9,ARTR2,2
LAW118,9,ATPO,1
LAW118,10,SATR12,76
LAW118,10,ERNA10,6
LAW118,10,ATPO,5
LAW118,10,IVAX,3
LAW118,11,ATPO,42
LAW118,11,SATR12,23
LAW118,12,ATPO,73
LAW118,12,SATR12,5
LAW118,12,ERDE6,11
LAW118,13,ATPO,54
LAW118,13,SATR12,4
LAW118,13,ERDE6,16
LAW118,14,ATPO,45
LAW118,14,SATR12,9
LAW118,14,ERDE6,11
LAW118,15,ATPO,38
LAW118,15,SATR12,22
