parcel,transect,species,cover
LAW090,61,ACHY,0
LAW090,61,ACSP12,0
LAW090,61,ARTRT,0
LAW090,61,GRSP,0
LAW090,61,ASFA,0
LAW090,61,ATPO,19
LAW090,61,ATTO,22
LAW090,61,SAVE4,7
LAW090,61,POFR2,9
LAW090,62,ATPO,1
LAW090,62,ATTO,23
LAW090,62,ATCA2,4
LAW090,63,ERNA10,1
LAW090,63,ATTO,5
LAW090,63,ATCA2,29
LAW090,64,KRLA2,1
LAW090,64,ATCA2,9
LAW090,65,ATPO,6
LAW090,65,ATTO,34
LAW090,66,ERNA10,1
LAW090,66,BAHY,2
LAW090,66,ATPO,15
LAW090,66,SATR12,7
LAW090,66,KRLA2,6
LAW090,66,ATTO,1
LAW090,67,ATTO,7
LAW090,67,ATCA2,2
LAW090,68,ATPO,4
LAW090,68,SATR12,5
LAW090,68,ATCA2,16
LAW090,69,ATPO,5
LAW090,69,ATTO,4
LAW090,70,ERNA10,12
LAW090,70,ATCA2,6
LAW090,71, ATPO,3
LAW090,71,ATCA2,5
LAW090,71,ERNA10,5
LAW090,72,ATPO,2
LAW090,72,ATCA2,11
LAW090,72,ATTO,4
LAW090,72,AMDU2,4
LAW090,73,ATPO,11
LAW090,73,ATCA2,23
LAW090,73,ERNA10,4
LAW090,73,AMDU2,6
LAW090,73,SATR12,1
LAW090,73,KRLA2,2
LAW090,74,ATPO,30
LAW090,74,ATCA2,1
LAW090,75,ATPO,38
LAW090,75,ATCA2,1
LAW090,76,ATPO,17
LAW090,76,ATCA2,3
LAW090,76,ERNA10,7
LAW090,77,ATPO,21
LAW090,77,ATCA2,1
LAW090,77,ERNA10,1
LAW090,78,ATPO,24
LAW090,78,ATCA2,6
LAW090,78,ERNA10,5
LAW090,79,ATPO,12
LAW090,79,ATCA2,4
LAW090,79,ATTO,5
LAW090,79,SATR12,2
LAW090,80,ATPO,21
LAW090,80,ATTO,6
LAW094,41,MESP2,0
LAW094,41,STEPH,0
LAW094,41,PSPO,0
LAW094,41,ATCO,0
LAW094,41,ACSP12,0
LAW094,41,ENAC,0
LAW094,41,ACHY,0
LAW094,41,LYCO2,0
LAW094,41,LEFR2,0
LAW094,41,ERTE24,0
LAW094,41,ERFA2,0
LAW094,41,ATPO,7
LAW094,41,ATCA2,17
LAW094,42,ATPO,16
LAW094,42,ATCA2,8
LAW094,43,ATPO,5
LAW094,43,ATCA2,10
LAW094,43,SATR12,1
LAW094,44,ATPO,35
LAW094,44,ATCA2,2
LAW094,45,ATPO,18
LAW094,45,ATCA2,3
LAW094,46,ATPO,8
LAW094,46,ENAC,1
LAW094,46,ATTO,1
LAW094,47,ATCA2,7
LAW094,48,ATCA2,8
LAW094,48,ATPO,2
LAW094,48,ERNA10,3
LAW094,48,ATTO,3
LAW094,49,ATPO,22
LAW094,49,ERNA10,9
LAW094,50,ATPO,41
LAW094,51,ATCA2,7
LAW094,51,ATPO,4
LAW094,52,ATCA2,3
LAW094,52,ATPO,16
LAW094,53,ATCA2,3
LAW094,53,ATPO,9
LAW094,53,ERNA10,2
LAW094,53,ENAC,1
LAW094,54,ATCA2,12
LAW094,54,ERNA10,2
LAW094,55,ATPO,1
LAW094,55,ATCA2,9
LAW094,55,ERNA10,3
LAW094,55,KRLA2,5
LAW094,56,ATCA2,11
LAW094,56,ERNA10,2
LAW094,57,ATPO,9
LAW094,57,ATCA2,12
LAW094,57,KRLA2,1
LAW094,58,ATPO,2
LAW094,58,ATCA2,4
LAW094,58,ERNA10,1
LAW094,58,ATTO,13
LAW094,59,ATPO,4
LAW094,59,ATCA2,8
LAW094,59,ERNA10,3
LAW094,59,KRLA2,2
LAW094,60,ATCA2,4
LAW094,60,ATTO,9
LAW095,21,PSPO,0
LAW095,21,ERFA2,0
LAW095,21,DISP,0
LAW095,21,POFR2,0
LAW095,21,LEFR2,0
LAW095,21,ACSP12,0
LAW095,21,ENAC,0
LAW095,21,ATCO,0
LAW095,21,ATCA2,1
LAW095,21,ERNA10,4
LAW095,21,ATPO,40
LAW095,21,SATR12,1
LAW095,22,ATCA2,14
LAW095,22,ERNA10,3
LAW095,22,ATTO,16
LAW095,22,ATPO,20
LAW095,23,ERNA10,5
LAW095,23,ATTO,3
LAW095,23,ATPO,1
LAW095,23,SATR12,1
LAW095,24,ATCA2,7
LAW095,24,ERNA10,8
LAW095,24,ATTO,3
LAW095,24,ATPO,25
LAW095,24,SATR12,1
LAW095,24,KRLA2,5
LAW095,24,LYCO2,3
LAW095,25,ATCA2,5
LAW095,25,ERNA10,2
LAW095,25,ATTO,3
LAW095,25,ATPO,22
LAW095,25,SATR12,1
LAW095,26,ATCA2,5
LAW095,26,ERNA10,12
LAW095,26,ATTO,5
LAW095,26,ATPO,10
LAW095,27,ATCA2,2
LAW095,27,ERNA10,4
LAW095,27,SATR12,1
LAW095,28,ATCA2,3
LAW095,28,ATPO,51
LAW095,28,ATTO,4
LAW095,29,ERNA10,1
LAW095,29,ATCA2,2
LAW095,29,ATPO,6
LAW095,30,ERNA10,2
LAW095,30,ATCA2,6
LAW095,30,ATPO,19
LAW095,30,SATR12,1
LAW095,30,AMDU2,6
LAW095,31,ATCA2,14
LAW095,31,SATR12,4
LAW095,32,ATCA2,2
LAW095,32,ATPO,3
LAW095,32,SATR12,2
LAW095,33,ERNA10,5
LAW095,33,ATCA2,8
LAW095,33,ATPO,11
LAW095,33,ATTO,10
LAW095,33,SATR12,1
LAW095,34,ATCA2,3
LAW095,34,ATPO,7
LAW095,34,ATTO,1
LAW095,34,AMDU2,1
LAW095,35,ATCA2,2
LAW095,35,SATR12,8
LAW095,36,ATCA2,4
LAW095,36,SATR12,6
LAW095,36,ERNA10,1
LAW095,37,ATCA2,4
LAW095,37,SATR12,3
LAW095,38,ATPO,6
LAW095,38,ATCA2,3
LAW095,39,ATPO,12
LAW095,39,ATCA2,11
LAW095,40,ATPO,6
LAW095,40,ATCA2,7
LAW095,40,SATR12,1
