transect,parcel,x,y,bearing
1,LAW129,382981,4139074,120
2,LAW129,383014,4138826,40
3,LAW129,383041,4138959,220
4,LAW129,383066,4139101,120
5,LAW129,383099,4138849,40
6,LAW129,383124,4138958,320
7,LAW129,383144,4139070,120
8,LAW129,383185,4138885,40
9,LAW129,383212,4138957,220
10,LAW129,383223,4139132,120
11,LAW129,383278,4138829,40
12,LAW129,383296,4138957,320
13,LAW129,383328,4139089,120
14,LAW129,383359,4138884,40
15,LAW129,383380,4138957,220
16,LAW129,383401,4139160,120
17,LAW129,383444,4138840,40
18,LAW129,383472,4138957,320
19,LAW129,383486,4139117,120
20,LAW129,383501,4138890,40
21,LAW095,381786,4141852,40
22,LAW095,381858,4141994,220
23,LAW095,381876,4141898,40
24,LAW095,381919,4142151,120
25,LAW095,381925,4141940,320
26,LAW095,381952,4141858,40
27,LAW095,381966,4142075,120
28,LAW095,381987,4141995,220
29,LAW095,382013,4141823,40
30,LAW095,382033,4141910,40
31,LAW095,382034,4142126,120
32,LAW095,382054,4142038,120
33,LAW095,382082,4141873,40
34,LAW095,382105,4141951,320
35,LAW095,382117,4142113,120
36,LAW095,382157,4142170,120
37,LAW095,382164,4141922,220
38,LAW095,382188,4141835,40
39,LAW095,382208,4141952,320
40,LAW095,382222,4142070,120
41,LAW094,382289,4141814,40
42,LAW094,382305,4141964,220
43,LAW094,382325,4142141,40
44,LAW094,382339,4142096,120
45,LAW094,382349,4142004,320
46,LAW094,382369,4141926,40
47,LAW094,382385,4141846,120
48,LAW094,382428,4141892,220
49,LAW094,382432,4141963,40
50,LAW094,382437,4142061,40
51,LAW094,382478,4142147,120
52,LAW094,382496,4142088,120
53,LAW094,382488,4141971,40
54,LAW094,382515,4141887,320
55,LAW094,382562,4141822,120
56,LAW094,382565,4141945,120
57,LAW094,382561,4142049,220
58,LAW094,382605,4142133,40
59,LAW094,382618,4142045,320
60,LAW094,382643,4141900,120
61,LAW090,381997,4142268,40
62,LAW090,382026,4142492,320
63,LAW090,382067,4142808,120
64,LAW090,382092,4142667,120
65,LAW090,382129,4142394,40
66,LAW090,382160,4142296,40
67,LAW090,382193,4142545,320
68,LAW090,382229,4142724,120
69,LAW090,382240,4142344,40
70,LAW090,382273,4142617,220
71,LAW090,382308,4142285,40
72,LAW090,382332,4142501,320
73,LAW090,382371,4142820,120
74,LAW090,382399,4142741,120
75,LAW090,382424,4142663,120
76,LAW090,382462,4142402,220
77,LAW090,382497,4142320,40
78,LAW090,382531,4142391,320
79,LAW090,382540,4142635,120
80,LAW090,382565,4142562,220
