Lifecycle,parcel,year,transect,Grass,Herb,Herb_Shrub,Shrub,Tree,Cover,tot.live.cover,pShrubTran,pGrassTran,pHerbTran
Perennial,LAW090,2022,61,1,0,0,5.5,2.5,9,9.5,0.6111111111111112,0.1111111111111111,0
Perennial,LAW090,2022,62,0,0.5,0,9.5,0,10,15,0.95,0,0.05
Perennial,LAW090,2022,63,0,0,0,8.5,0,8.5,12.5,1,0,0
Perennial,LAW090,2022,64,0,0,0,10.5,0,10.5,18.5,1,0,0
Perennial,LAW090,2022,66,0,0,0,11,0,11,11.5,1,0,0
Perennial,LAW090,2022,67,1,0,0,8,0,9,10,0.8888888888888888,0.1111111111111111,0
Perennial,LAW090,2022,68,0,0,0,7.5,0,7.5,17,1,0,0
Perennial,LAW090,2022,69,0,0,0,8,0,8,11,1,0,0
Perennial,LAW090,2022,70,0,1,0,6.5,0,7.5,10,0.8666666666666667,0,0.13333333333333333
Perennial,LAW090,2022,71,0,0,0,4,0,4,12.5,1,0,0
Perennial,LAW090,2022,72,0,0,0,12.5,0,12.5,13.5,1,0,0
Perennial,LAW090,2022,73,0,0,0,22,0,22,22.5,1,0,0
Perennial,LAW090,2022,74,2.5,0,0,24.5,0,27,27,0.9074074074074074,0.09259259259259259,0
Perennial,LAW090,2022,75,0,0,0,18.5,0,18.5,19.5,1,0,0
Perennial,LAW090,2022,76,0,0,0,3,0,3,3.5,1,0,0
Perennial,LAW090,2022,77,0,0,0,16,0,16,17,1,0,0
Perennial,LAW090,2022,78,0,0,0,13.5,0,13.5,22,1,0,0
Perennial,LAW090,2022,79,0,0,0,6,0,6,28.5,1,0,0
Perennial,LAW090,2022,80,0,0,0,23.5,0,23.5,25.5,1,0,0
Perennial,LAW090,2024,61,0,0,0,13,4.5,17.5,17.5,0.7428571428571429,0,0
Perennial,LAW090,2024,62,0,0,0,2.5,0,2.5,2.5,1,0,0
Perennial,LAW090,2024,63,0,0,0,14.499999999999998,0,14.499999999999998,14.499999999999998,1,0,0
Perennial,LAW090,2024,64,0,0,0,5,0,5,5,1,0,0
Perennial,LAW090,2024,65,0,0,0,3,0,3,3,1,0,0
Perennial,LAW090,2024,66,0,0,0,10.5,0,10.5,15,1,0,0
Perennial,LAW090,2024,67,0,0,0,1,0,1,1,1,0,0
Perennial,LAW090,2024,68,0,0,0,10,0,10,12.5,1,0,0
Perennial,LAW090,2024,69,0,0,0,2.5,0,2.5,2.5,1,0,0
Perennial,LAW090,2024,70,0,0,0,3,0,3,3,1,0,0
Perennial,LAW090,2024,71,0,0,0,4,0,4,4,1,0,0
Perennial,LAW090,2024,72,0,0,0,8.5,0,8.5,8.5,1,0,0
Perennial,LAW090,2024,73,0,0,0,21,0,21,21.5,1,0,0
Perennial,LAW090,2024,74,0,0,0,15.5,0,15.5,15.5,1,0,0
Perennial,LAW090,2024,75,0,0,0,19.5,0,19.5,19.5,1,0,0
Perennial,LAW090,2024,76,0,0,0,10,0,10,10,1,0,0
