Lifecycle,parcel,year,transect,Grass,Herb,Herb_Shrub,Shrub,Tree,Cover,tot.live.cover,pShrubTran,pGrassTran,pHerbTran
Perennial,LAW090,2022,61,1,0,0,11,2.5,14.5,15,0.7586206896551724,0.06896551724137931,0
Perennial,LAW090,2022,62,0,0.5,0,15.5,0,16,21,0.96875,0,0.03125
Perennial,LAW090,2022,63,0,0,0,13.5,0,13.5,17.5,1,0,0
Perennial,LAW090,2022,64,0,0,0,10.5,0,10.5,18.5,1,0,0
Perennial,LAW090,2022,65,0,0,0,21.5,0,21.5,25.5,1,0,0
Perennial,LAW090,2022,66,0,0,0,16.5,0,16.5,17,1,0,0
Perennial,LAW090,2022,67,1,0,0,15.5,0,16.5,17.5,0.9393939393939394,0.06060606060606061,0
Perennial,LAW090,2022,68,0,0,0,7.5,0,7.5,17,1,0,0
Perennial,LAW090,2022,69,0,0,0,13.5,0,13.5,16.5,1,0,0
Perennial,LAW090,2022,70,0,1,0,10.5,0,11.5,14,0.9130434782608695,0,0.08695652173913043
Perennial,LAW090,2022,71,0,0,0,7.000000000000001,0,7.000000000000001,15.5,1,0,0
Perennial,LAW090,2022,72,0,0,0,12.5,0,12.5,13.5,1,0,0
Perennial,LAW090,2022,73,0,0,0,22,0,22,22.5,1,0,0
Perennial,LAW090,2022,74,2.5,0,0,24.5,0,27,27,0.9074074074074074,0.09259259259259259,0
Perennial,LAW090,2022,75,0,0,0,21,0,21,22,1,0,0
Perennial,LAW090,2022,76,0,0,0,17,0,17,17.5,1,0,0
Perennial,LAW090,2022,77,0,0,0,16,0,16,17,1,0,0
Perennial,LAW090,2022,78,0,0,0,17.5,0,17.5,26,1,0,0
Perennial,LAW090,2022,79,0,0,0,9.5,0,9.5,32,1,0,0
Perennial,LAW090,2022,80,0,0,0,23.5,0,23.5,25.5,1,0,0
Perennial,LAW090,2024,61,0,0,0,24,4.5,28.5,28.5,0.8421052631578947,0,0
Perennial,LAW090,2024,62,0,0,0,14.000000000000002,0,14.000000000000002,14.000000000000002,1,0,0
Perennial,LAW090,2024,63,0,0,0,17.5,0,17.5,17.5,1,0,0
Perennial,LAW090,2024,64,0,0,0,5,0,5,5,1,0,0
Perennial,LAW090,2024,65,0,0,0,20,0,20,20,1,0,0
Perennial,LAW090,2024,66,0,0,0,11.5,0,11.5,16,1,0,0
Perennial,LAW090,2024,67,0,0,0,4.5,0,4.5,4.5,1,0,0
