sample,parcel,year,role,reference_group,family,group_label,NMDS1,NMDS2
LAW012_2024,LAW012,2024,reference,LAW90/94/95,reference,LAW90/94/95,-0.8757755622781627,0.6310636441359483
LAW024_2024,LAW024,2024,reference,LAW90/94/95,reference,LAW90/94/95,-0.8657077681626637,-0.03771124734777382
LAW028_2022,LAW028,2022,reference,LAW90/94/95,reference,LAW90/94/95,-0.8611650707307227,0.3643296441426056
LAW028_2024,LAW028,2024,reference,LAW90/94/95,reference,LAW90/94/95,-1.0176490145829757,0.8536950230670395
LAW029_2022,LAW029,2022,reference,LAW118/129,reference,LAW118/129,-0.4511721099991559,-0.36184422621333057
LAW029_2023,LAW029,2023,reference,LAW118/129,reference,LAW118/129,-0.25959060683601903,-0.44693247518919166
LAW029_2025,LAW029,2025,reference,LAW118/129,reference,LAW118/129,-0.09071146481926116,-0.6669279867370635
LAW039_2023,LAW039,2023,reference,LAW118/129,reference,LAW118/129,-1.141363222929723,0.016098749979885613
LAW039_2025,LAW039,2025,reference,LAW118/129,reference,LAW118/129,-0.5491097956482154,0.25412809778106743
LAW048_2022,LAW048,2022,reference,LAW90/94/95,reference,LAW90/94/95,-1.0291516358008352,-0.5980142473140068
LAW049_2022,LAW049,2022,reference,LAW90/94/95,reference,LAW90/94/95,-1.0984504598420033,-0.1987299601339484
LAW069_2023,LAW069,2023,reference,LAW118/129,reference,LAW118/129,0.38436163336721324,-1.1199355663988562
LAW069_2025,LAW069,2025,reference,LAW118/129,reference,LAW118/129,1.0659025433438216,-0.8891357279068317
LAW090_2022,LAW090,2022,reveg,NA,reveg 090/094/095,reveg 090/094/095,0.7564271105798266,0.22781086324283012
LAW090_2024,LAW090,2024,reveg,NA,reveg 090/094/095,reveg 090/094/095,0.7211378037853307,0.35101570146124156
LAW090_2025,LAW090,2025,reveg,NA,reveg 090/094/095,reveg 090/094/095,0.7708370883901349,0.49935611235722865
LAW091_2022,LAW091,2022,reference,LAW90/94/95,reference,LAW90/94/95,-0.9610813140436172,1.5435719472425027
LAW093_2022,LAW093,2022,reference,LAW90/94/95,reference,LAW90/94/95,-0.7903433132118537,1.1882657129770617
LAW094_2022,LAW094,2022,reveg,NA,reveg 090/094/095,reveg 090/094/095,0.8778074384851385,0.41831272541890613
LAW094_2024,LAW094,2024,reveg,NA,reveg 090/094/095,reveg 090/094/095,0.8494348651207805,0.5606619689641751
LAW094_2025,LAW094,2025,reveg,NA,reveg 090/094/095,reveg 090/094/095,0.8560501711940123,0.5952168342480398
LAW095_2022,LAW095,2022,reveg,NA,reveg 090/094/095,reveg 090/094/095,0.8377636524441542,0.16151864322917514
LAW095_2024,LAW095,2024,reveg,NA,reveg 090/094/095,reveg 090/094/095,0.8230438714334407,0.3979288851983907
LAW095_2025,LAW095,2025,reveg,NA,reveg 090/094/095,reveg 090/094/095,0.7899938326711498,0.3466215502504566
LAW104_2023,LAW104,2023,reference,LAW118/129,reference,LAW118/129,-0.61444960424061,-0.9909358552582878
LAW104_2025,LAW104,2025,reference,LAW118/129,reference,LAW118/129,-1.0920563706042088,-1.0444663996016355
LAW117_2022,LAW117,2022,reference,LAW90/94/95,reference,LAW90/94/95,-1.1234420375897356,0.9137929334393343
LAW118_2023,LAW118,2023,reveg,NA,reference,reference,1.0495604037784378,0.19090178449157552
LAW118/129_2025,LAW118/129,2025,reveg,NA,reveg 118/129,reveg 118/129,0.9337733683488645,-0.37570956829071683
LAW119_2023,LAW119,2023,reference,LAW118/129,reference,LAW118/129,0.12988885281155346,-1.18643842772103
LAW119_2025,LAW119,2025,reference,LAW118/129,reference,LAW118/129,0.5494051227201463,-0.9442118966311264
LAW129_2022,LAW129,2022,reveg,NA,reference,reference,1.1694714454447344,-0.25975782457479196
LAW130_2024,LAW130,2024,reference,LAW90/94/95,reference,LAW90/94/95,0.7629063478377591,1.213198339384693
LAW134_2024,LAW134,2024,reference,LAW90/94/95,reference,LAW90/94/95,0.3333802034480734,1.0538536128396898
PLC202_2023,PLC202,2023,reference,LAW118/129,reference,LAW118/129,-0.1733217841983082,-0.8797167208400037
PLC202_2025,PLC202,2025,reference,LAW118/129,reference,LAW118/129,0.7695703390171424,-0.9865249828721089
PLC219_2022,PLC219,2022,reference,LAW118/129,reference,LAW118/129,-0.8355057547183304,-0.5124722246045015
PLC219_2023,PLC219,2023,reference,LAW118/129,reference,LAW118/129,-0.8655344105582531,-0.5821360409513486
PLC219_2025,PLC219,2025,reference,LAW118/129,reference,LAW118/129,-0.6008157009648184,-0.5235222433584862
PLC227_2023,PLC227,2023,reference,LAW118/129,reference,LAW118/129,-0.031050063198410787,0.32128422960890213
PLC227_2025,PLC227,2025,reference,LAW118/129,reference,LAW118/129,0.08834901279084402,0.3502990261536712
PLC230_2023,PLC230,2023,reference,LAW118/129,reference,LAW118/129,0.3732101257502883,0.19343065369906545
PLC230_2025,PLC230,2025,reference,LAW118/129,reference,LAW118/129,0.4351718321950388,-0.04123306136844569
