parcel,transect,species,hits,year,CommonName,Lifecycle,Lifeform,percent_cover
LAW117,9,PSARM,7,2022,"indigo bush, Northern Mojave",Perennial,Shrub,7
LAW117,9,TEGL,3,2022,"horsebrush, Little",Perennial,Shrub,3
LAW117,9,KRLA2,2,2022,Winterfat,Perennial,Shrub,2
LAW117,40,PSARM,1,2022,"indigo bush, Northern Mojave",Perennial,Shrub,1
LAW117,40,TEGL,1,2022,"horsebrush, Little",Perennial,Shrub,1
LAW117,40,KRLA2,3,2022,Winterfat,Perennial,Shrub,3
LAW117,40,ATCO,3,2022,Shadscale,Perennial,Shrub,3
LAW117,40,TEAX,1,2022,"cotton-thorn, straight-spined",Perennial,Shrub,1
LAW117,34,PSARM,6,2022,"indigo bush, Northern Mojave",Perennial,Shrub,6
LAW117,34,TEGL,2,2022,"horsebrush, Little",Perennial,Shrub,2
LAW117,34,ATCO,1,2022,Shadscale,Perennial,Shrub,1
LAW117,1,PSARM,6,2022,"indigo bush, Northern Mojave",Perennial,Shrub,6
LAW117,1,KRLA2,2,2022,Winterfat,Perennial,Shrub,2
LAW117,17,PSARM,5,2022,"indigo bush, Northern Mojave",Perennial,Shrub,5
LAW117,17,KRLA2,1,2022,Winterfat,Perennial,Shrub,1
LAW117,15,PSARM,7,2022,"indigo bush, Northern Mojave",Perennial,Shrub,7
LAW117,15,KRLA2,2,2022,Winterfat,Perennial,Shrub,2
LAW117,45,PSARM,3,2022,"indigo bush, Northern Mojave",Perennial,Shrub,3
LAW117,12,PSARM,7,2022,"indigo bush, Northern Mojave",Perennial,Shrub,7
LAW117,12,KRLA2,1,2022,Winterfat,Perennial,Shrub,1
LAW117,12,ATCO,2,2022,Shadscale,Perennial,Shrub,2
LAW117,25,PSARM,6,2022,"indigo bush, Northern Mojave",Perennial,Shrub,6
LAW117,25,KRLA2,5,2022,Winterfat,Perennial,Shrub,5
LAW117,25,ATCO,3,2022,Shadscale,Perennial,Shrub,3
LAW117,25,TEGL,1,2022,"horsebrush, Little",Perennial,Shrub,1
LAW117,43,PSARM,3,2022,"indigo bush, Northern Mojave",Perennial,Shrub,3
LAW117,47,PSARM,5,2022,"indigo bush, Northern Mojave",Perennial,Shrub,5
LAW117,47,ATCO,1,2022,Shadscale,Perennial,Shrub,1
LAW117,18,PSARM,5,2022,"indigo bush, Northern Mojave",Perennial,Shrub,5
LAW117,18,ATCO,1,2022,Shadscale,Perennial,Shrub,1
LAW117,18,KRLA2,1,2022,Winterfat,Perennial,Shrub,1
LAW117,16,PSARM,8,2022,"indigo bush, Northern Mojave",Perennial,Shrub,8
LAW117,16,ATCO,2,2022,Shadscale,Perennial,Shrub,2
LAW117,16,KRLA2,1,2022,Winterfat,Perennial,Shrub,1
LAW117,42,PSARM,4,2022,"indigo bush, Northern Mojave",Perennial,Shrub,4
LAW117,42,KRLA2,2,2022,Winterfat,Perennial,Shrub,2
LAW117,42,TEAX,2,2022,"cotton-thorn, straight-spined",Perennial,Shrub,2
LAW117,35,PSARM,2,2022,"indigo bush, Northern Mojave",Perennial,Shrub,2
LAW117,35,TEAX,1,2022,"cotton-thorn, straight-spined",Perennial,Shrub,1
LAW117,44,EPNE,2,2022,"ephedra, Nevada",Perennial,Shrub,2
LAW117,44,PSARM,5,2022,"indigo bush, Northern Mojave",Perennial,Shrub,5
LAW117,44,TEAX,2,2022,"cotton-thorn, straight-spined",Perennial,Shrub,2
LAW117,22,PSARM,3,2022,"indigo bush, Northern Mojave",Perennial,Shrub,3
LAW117,22,TEAX,3,2022,"cotton-thorn, straight-spined",Perennial,Shrub,3
LAW117,22,ATCO,1,2022,Shadscale,Perennial,Shrub,1
LAW117,36,EPNE,2,2022,"ephedra, Nevada",Perennial,Shrub,2
LAW117,36,PSARM,7,2022,"indigo bush, Northern Mojave",Perennial,Shrub,7
LAW117,36,ATCO,1,2022,Shadscale,Perennial,Shrub,1
LAW117,36,KRLA2,1,2022,Winterfat,Perennial,Shrub,1
LAW117,29,PSARM,4,2022,"indigo bush, Northern Mojave",Perennial,Shrub,4
LAW117,29,ATCO,6,2022,Shadscale,Perennial,Shrub,6
LAW117,29,KRLA2,1,2022,Winterfat,Perennial,Shrub,1
LAW117,30,PSARM,7,2022,"indigo bush, Northern Mojave",Perennial,Shrub,7
LAW117,30,ATCO,3,2022,Shadscale,Perennial,Shrub,3
LAW117,37,PSARM,6,2022,"indigo bush, Northern Mojave",Perennial,Shrub,6
LAW117,37,ATCO,1,2022,Shadscale,Perennial,Shrub,1
LAW117,37,LYAN,2,2022,"tomato, Desert /wolfberry, Anderson's",Perennial,Shrub,2
LAW117,37,EPNE,1,2022,"ephedra, Nevada",Perennial,Shrub,1
LAW117,27,PSARM,5,2022,"indigo bush, Northern Mojave",Perennial,Shrub,5
LAW117,27,ATCO,1,2022,Shadscale,Perennial,Shrub,1
LAW117,19,PSARM,4,2022,"indigo bush, Northern Mojave",Perennial,Shrub,4
LAW117,19,ATCO,2,2022,Shadscale,Perennial,Shrub,2
LAW117,21,PSARM,13,2022,"indigo bush, Northern Mojave",Perennial,Shrub,13
LAW117,21,ATCO,3,2022,Shadscale,Perennial,Shrub,3
LAW117,21,SATR12,2,2022,"Tumbleweed /thistle, Russian",Annual,Herb,2
LAW117,31,PSARM,4,2022,"indigo bush, Northern Mojave",Perennial,Shrub,4
LAW117,31,ATCO,1,2022,Shadscale,Perennial,Shrub,1
LAW117,5,ATCO,4,2022,Shadscale,Perennial,Shrub,4
LAW117,5,PSARM,3,2022,"indigo bush, Northern Mojave",Perennial,Shrub,3
LAW117,48,PSARM,2,2022,"indigo bush, Northern Mojave",Perennial,Shrub,2
LAW117,48,SATR12,2,2022,"Tumbleweed /thistle, Russian",Annual,Herb,2
LAW117,38,ATCO,1,2022,Shadscale,Perennial,Shrub,1
LAW117,38,PSARM,10,2022,"indigo bush, Northern Mojave",Perennial,Shrub,10
LAW117,38,LYAN,2,2022,"tomato, Desert /wolfberry, Anderson's",Perennial,Shrub,2
LAW117,41,PSARM,10,2022,"indigo bush, Northern Mojave",Perennial,Shrub,10
LAW117,41,KRLA2,5,2022,Winterfat,Perennial,Shrub,5
LAW117,41,SATR12,1,2022,"Tumbleweed /thistle, Russian",Annual,Herb,1
LAW117,41,ATCO,3,2022,Shadscale,Perennial,Shrub,3
LAW117,49,PSARM,9,2022,"indigo bush, Northern Mojave",Perennial,Shrub,9
LAW117,49,ATCO,1,2022,Shadscale,Perennial,Shrub,1
LAW117,24,PSARM,7,2022,"indigo bush, Northern Mojave",Perennial,Shrub,7
LAW117,24,KRLA2,2,2022,Winterfat,Perennial,Shrub,2
LAW117,24,ATCO,2,2022,Shadscale,Perennial,Shrub,2
LAW117,26,PSARM,5,2022,"indigo bush, Northern Mojave",Perennial,Shrub,5
LAW117,26,ATCO,5,2022,Shadscale,Perennial,Shrub,5
LAW117,3,PSARM,5,2022,"indigo bush, Northern Mojave",Perennial,Shrub,5
LAW117,3,ATCO,3,2022,Shadscale,Perennial,Shrub,3
LAW117,33,ATCO,1,2022,Shadscale,Perennial,Shrub,1
LAW117,33,PSARM,4,2022,"indigo bush, Northern Mojave",Perennial,Shrub,4
LAW117,33,LEPID,1,2022,Peppergrass/Pepperweed,Annual/Perennial,Herb_Shrub,1
LAW117,32,ATCO,1,2022,Shadscale,Perennial,Shrub,1
LAW117,32,PSARM,10,2022,"indigo bush, Northern Mojave",Perennial,Shrub,10
LAW117,32,KRLA2,4,2022,Winterfat,Perennial,Shrub,4
LAW117,32,EPNE,3,2022,"ephedra, Nevada",Perennial,Shrub,3
LAW117,6,ATCO,2,2022,Shadscale,Perennial,Shrub,2
LAW117,6,PSARM,5,2022,"indigo bush, Northern Mojave",Perennial,Shrub,5
