parcel,sheet,transect,survey_year,cover_pct
IND105,IND105,1.1000000000000001,1999,4.5
IND105,IND105,1.1000000000000001,2001,4.5
IND105,IND105,1.1000000000000001,2017,19.5
IND105,IND105,1.1000000000000001,2018,8.21917808219178
IND105,IND105,1.2,1999,6.5
IND105,IND105,1.2,2001,7.000000000000001
IND105,IND105,1.2,2017,21.363636363636363
IND105,IND105,1.2,2018,8.5
IND105,IND105,2.1,1999,7
IND105,IND105,2.1,2001,9.5
IND105,IND105,2.1,2017,11
IND105,IND105,2.1,2018,7.211538461538461
IND105,IND105,2.2000000000000002,1999,5.5
IND105,IND105,2.2000000000000002,2001,8.5
IND105,IND105,2.2000000000000002,2017,20.673076923076923
IND105,IND105,2.2000000000000002,2018,8
IND105,IND105,3.1,1999,6
IND105,IND105,3.1,2001,5.5
IND105,IND105,3.1,2017,14
IND105,IND105,3.1,2018,19.791666666666664
IND105,IND105,3.2,1999,4.166666666666666
IND105,IND105,3.2,2001,10.416666666666666
IND105,IND105,3.2,2017,32.460732984293195
IND105,IND105,3.2,2018,5.5
IND105,IND105,4.0999999999999996,1999,7
IND105,IND105,4.0999999999999996,2001,9
IND105,IND105,4.0999999999999996,2017,12.5
IND105,IND105,4.0999999999999996,2018,14.689265536723164
IND105,IND105,4.2,1999,10.734463276836157
IND105,IND105,4.2,2001,12.429378531073448
IND105,IND105,4.2,2017,34.65909090909091
IND105,IND105,4.2,2018,8.955223880597014
IND105,IND105,5.0999999999999996,1999,14.500000000000002
IND105,IND105,5.0999999999999996,2001,22
IND105,IND105,5.0999999999999996,2017,23
IND105,IND105,5.0999999999999996,2018,19.10828025477707
IND105,IND105,5.2,1999,7.006369426751593
IND105,IND105,5.2,2001,19.745222929936304
IND105,IND105,5.2,2017,35.031847133757964
IND105,IND105,5.2,2018,16.5
IND105,IND105,6.1,1999,11.5
IND105,IND105,6.1,2001,17
IND105,IND105,6.1,2017,17
IND105,IND105,6.1,2018,28.35820895522388
IND105,IND105,6.2,1999,15.555555555555555
IND105,IND105,6.2,2001,22.962962962962962
IND105,IND105,6.2,2017,31.343283582089555
IND105,IND105,6.2,2018,12
IND123,IND123,1.1000000000000001,2001,0.5
IND123,IND123,1.1000000000000001,2006,7.5
IND123,IND123,1.2,2001,0.5
IND123,IND123,1.2,2006,5
IND123,IND123,1.3,2001,7.438016528925621
IND123,IND123,1.3,2006,17.21311475409836
IND123,IND123,2.1,2001,2
IND123,IND123,2.1,2006,10
IND123,IND123,2.2000000000000002,2001,1.5
IND123,IND123,2.2000000000000002,2006,5.5
IND123,IND123,2.2999999999999998,2001,1.5
IND123,IND123,2.2999999999999998,2006,10
IND123,IND123,2.4,2001,1.4084507042253522
IND123,IND123,2.4,2006,2.7777777777777777
