parcel,quad,parcel_code,segment_key,species,hits,survey_year,source_file,length_m,n_possible_hits,intercept_spacing_m,denominator_source,percent_cover
IND131S,IND,131S,1.1-1.2,ATPO,40,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,100.12,200,0.5,gis_post_distance,20
IND131S,IND,131S,1.2-1.3,ATPO,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,101.33,203,0.5,gis_post_distance,0
IND131S,IND,131S,1.3-1.4,ATPO,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,98.46,197,0.5,gis_post_distance,0
IND131S,IND,131S,1.4-1.5,ATPO,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,99.44,199,0.5,gis_post_distance,0
IND131S,IND,131S,1.5-1.6,ATPO,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,101.37,203,0.5,gis_post_distance,0
IND131S,IND,131S,1.6-1.0,ATPO,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,85.41,171,0.5,gis_post_distance,0
IND131S,IND,131S,2.1-2.2,ATPO,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,NA,NA,NA,NA,NA
IND131S,IND,131S,2.2-2.3,ATPO,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,NA,NA,NA,NA,NA
IND131S,IND,131S,2.3-2.4,ATPO,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,101.02,202,0.5,gis_post_distance,0
IND131S,IND,131S,2.4-2.5,ATPO,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,99.2,198,0.5,gis_post_distance,0
IND131S,IND,131S,2.5-2.6,ATPO,9,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,99.8,200,0.5,gis_post_distance,4.5
IND131S,IND,131S,2.6-2.7,ATPO,31,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,98.56,197,0.5,gis_post_distance,15.736040609137056
IND131S,IND,131S,2.7-2.0,ATPO,39,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,101.99,204,0.5,gis_post_distance,19.11764705882353
IND131S,IND,131S,3.1-3.2,ATPO,69,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,100.17,200,0.5,gis_post_distance,34.5
IND131S,IND,131S,3.2-3.3,ATPO,1,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,100.98,202,0.5,gis_post_distance,0.49504950495049505
IND131S,IND,131S,3.3-3.4,ATPO,4,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,100.32,201,0.5,gis_post_distance,1.9900497512437811
IND131S,IND,131S,3.4-3.5,ATPO,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,99.68,199,0.5,gis_post_distance,0
IND131S,IND,131S,3.5-3.6,ATPO,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,98.12,196,0.5,gis_post_distance,0
IND131S,IND,131S,3.6-3.7,ATPO,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,98.74,197,0.5,gis_post_distance,0
IND131S,IND,131S,3.7-3.0,ATPO,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,NA,NA,NA,NA,NA
IND131S,IND,131S,4.1-4.2,ATPO,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,102.5,205,0.5,gis_post_distance,0
IND131S,IND,131S,4.2-4.0,ATPO,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,147,294,0.5,gis_post_distance,0
IND131S,IND,131S,5.1-5.0,ATPO,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,82.86,166,0.5,gis_post_distance,0
IND131S,IND,131S,1.1-1.2,SATR12,0,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,100.12,200,0.5,gis_post_distance,0
IND131S,IND,131S,1.2-1.3,SATR12,8,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,101.33,203,0.5,gis_post_distance,3.9408866995073892
IND131S,IND,131S,1.3-1.4,SATR12,9,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx,98.46,197,0.5,gis_post_distance,4.568527918781726
