parcel,quad,parcel_code,survey_date,n_segment_columns,n_species_rows,survey_year,source_file
IND131S,IND,131S,2025-08-12,23,9,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx
IND131N,IND,131N,2025-08-13,10,5,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx
IND123,IND,123,2025-08-12,17,4,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx
IND105,IND,105,2025-08-13,12,4,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx
BLK16E,BKK,16E,2025-08-13,7,19,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx
TIN054,TIN,54,2025-08-14,16,7,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx
BGP160E,BGP,160E,2025-08-18,54,10,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx
BGP160W,BGP,160W,2025-08-18,8,6,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx
BIS097,BIS,97,2025-08-20,41,12,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx
LAW118,LAW,118,2025-08-20,21,26,2025,Re_Veg Parcels 2025 IND_BLK_TIN_BGP_BIS_LAW.xlsx
