parcel,transect,species,hits,year,bearing.x,parcel_aggregate,bearing.y,x,y
LAW095,21,SATR12,1,2022,NA,LAW095,40,381786,4141852
LAW095,21,ATCA2,5,2022,NA,LAW095,40,381786,4141852
LAW095,21,SPAI,4,2022,NA,LAW095,40,381786,4141852
LAW095,21,ERNA10,5,2022,NA,LAW095,40,381786,4141852
LAW095,21,ATPO,35,2022,NA,LAW095,40,381786,4141852
LAW095,21,AMDU2,2,2022,NA,LAW095,40,381786,4141852
LAW095,22,ATTO,2,2022,NA,LAW095,220,381858,4141994
LAW095,22,ATCA2,12,2022,NA,LAW095,220,381858,4141994
LAW095,22,ATPO,20,2022,NA,LAW095,220,381858,4141994
LAW095,22,SATR12,2,2022,NA,LAW095,220,381858,4141994
LAW095,22,ERNA10,3,2022,NA,LAW095,220,381858,4141994
LAW095,23,SATR12,4,2022,NA,LAW095,40,381876,4141898
LAW095,23,SPAI,3,2022,NA,LAW095,40,381876,4141898
LAW095,23,ERNA10,10,2022,NA,LAW095,40,381876,4141898
LAW095,23,ATTO,5,2022,NA,LAW095,40,381876,4141898
LAW095,23,DISP,3,2022,NA,LAW095,40,381876,4141898
LAW095,23,ATTO,2,2022,NA,LAW095,40,381876,4141898
LAW095,23,LYCO,1,2022,NA,LAW095,40,381876,4141898
LAW095,23,LECI4,1,2022,NA,LAW095,40,381876,4141898
LAW095,23,LETR5,3,2022,NA,LAW095,40,381876,4141898
LAW095,24,ERNA10,12,2022,NA,LAW095,120,381919,4142151
LAW095,24,ATTO,12,2022,NA,LAW095,120,381919,4142151
LAW095,24,ATCA2,2,2022,NA,LAW095,120,381919,4142151
LAW095,25,ATTO,5,2022,NA,LAW095,320,381925,4141940
LAW095,25,SPAI,1,2022,NA,LAW095,320,381925,4141940
LAW095,25,ATCA2,12,2022,NA,LAW095,320,381925,4141940
LAW095,25,ATPO,16,2022,NA,LAW095,320,381925,4141940
LAW095,25,SATR12,1,2022,NA,LAW095,320,381925,4141940
LAW095,26,SATR12,3,2022,NA,LAW095,40,381952,4141858
LAW095,26,ATCA2,18,2022,NA,LAW095,40,381952,4141858
LAW095,26,SPAI,9,2022,NA,LAW095,40,381952,4141858
LAW095,26,ERNA10,4,2022,NA,LAW095,40,381952,4141858
LAW095,26,ATTO,3,2022,NA,LAW095,40,381952,4141858
LAW095,26,DISP,1,2022,NA,LAW095,40,381952,4141858
LAW095,27,ERNA10,4,2022,NA,LAW095,120,381966,4142075
LAW095,27,ATCA2,2,2022,NA,LAW095,120,381966,4142075
LAW095,27,SPAI,3,2022,NA,LAW095,120,381966,4142075
LAW095,27,SATR12,4,2022,NA,LAW095,120,381966,4142075
LAW095,27,DISP,2,2022,NA,LAW095,120,381966,4142075
LAW095,28,SATR12,1,2022,NA,LAW095,220,381987,4141995
LAW095,28,ERNA10,1,2022,NA,LAW095,220,381987,4141995
LAW095,28,ATPO,27,2022,NA,LAW095,220,381987,4141995
LAW095,28,ATCA2,6,2022,NA,LAW095,220,381987,4141995
LAW095,28,ATTO,3,2022,NA,LAW095,220,381987,4141995
LAW095,28,SPAI,1,2022,NA,LAW095,220,381987,4141995
LAW095,29,ATPO,2,2022,NA,LAW095,40,382013,4141823
LAW095,29,ATCA2,4,2022,NA,LAW095,40,382013,4141823
LAW095,29,ERNA10,11,2022,NA,LAW095,40,382013,4141823
LAW095,29,LETR5,2,2022,NA,LAW095,40,382013,4141823
LAW095,30,SATR12,1,2022,NA,LAW095,40,382033,4141910
LAW095,30,ATPO,10,2022,NA,LAW095,40,382033,4141910
LAW095,30,ATCA2,7,2022,NA,LAW095,40,382033,4141910
LAW095,30,ERNA10,8,2022,NA,LAW095,40,382033,4141910
LAW095,30,AMDU2,3,2022,NA,LAW095,40,382033,4141910
LAW095,31,SATR12,2,2022,NA,LAW095,120,382034,4142126
LAW095,31,ATPO,5,2022,NA,LAW095,120,382034,4142126
LAW095,31,ERNA10,5,2022,NA,LAW095,120,382034,4142126
LAW095,31,ATCA2,3,2022,NA,LAW095,120,382034,4142126
LAW095,32,SATR12,9,2022,NA,LAW095,120,382054,4142038
LAW095,32,ATPO,5,2022,NA,LAW095,120,382054,4142038
LAW095,32,ATCA2,7,2022,NA,LAW095,120,382054,4142038
LAW095,33,DISP,2,2022,NA,LAW095,40,382082,4141873
LAW095,33,SATR12,2,2022,NA,LAW095,40,382082,4141873
LAW095,33,ATTO,9,2022,NA,LAW095,40,382082,4141873
LAW095,33,ATPO,5,2022,NA,LAW095,40,382082,4141873
LAW095,33,SPAI,4,2022,NA,LAW095,40,382082,4141873
LAW095,33,ATCA2,2,2022,NA,LAW095,40,382082,4141873
LAW095,33,LEFR2,1,2022,NA,LAW095,40,382082,4141873
LAW095,33,ERNA10,5,2022,NA,LAW095,40,382082,4141873
LAW095,34,SATR12,6,2022,NA,LAW095,320,382105,4141951
LAW095,34,DISP,7,2022,NA,LAW095,320,382105,4141951
LAW095,34,ERNA10,10,2022,NA,LAW095,320,382105,4141951
LAW095,34,ATPO,8,2022,NA,LAW095,320,382105,4141951
LAW095,34,ATCA2,11,2022,NA,LAW095,320,382105,4141951
LAW095,34,ATTO,1,2022,NA,LAW095,320,382105,4141951
LAW095,35,SATR12,15,2022,NA,LAW095,120,382117,4142113
LAW095,35,ATCA2,10,2022,NA,LAW095,120,382117,4142113
LAW095,36,SATR12,13,2022,NA,LAW095,120,382157,4142170
LAW095,36,ATCA2,6,2022,NA,LAW095,120,382157,4142170
LAW095,36,ATTO,7,2022,NA,LAW095,120,382157,4142170
LAW095,37,SATR12,10,2022,NA,LAW095,220,382164,4141922
LAW095,37,ATCA2,8,2022,NA,LAW095,220,382164,4141922
LAW095,37,ATPO,3,2022,NA,LAW095,220,382164,4141922
LAW095,37,ERNA10,2,2022,NA,LAW095,220,382164,4141922
LAW095,37,ATTO,3,2022,NA,LAW095,220,382164,4141922
LAW095,38,SATR12,15,2022,NA,LAW095,40,382188,4141835
LAW095,38,ATCA2,7,2022,NA,LAW095,40,382188,4141835
LAW095,38,ERNA10,3,2022,NA,LAW095,40,382188,4141835
LAW095,38,DISP,2,2022,NA,LAW095,40,382188,4141835
LAW095,38,ATPO,4,2022,NA,LAW095,40,382188,4141835
LAW095,39,SATR12,9,2022,NA,LAW095,320,382208,4141952
LAW095,39,ATCA2,9,2022,NA,LAW095,320,382208,4141952
LAW095,39,ATPO,16,2022,NA,LAW095,320,382208,4141952
LAW095,40,SATR12,14,2022,NA,LAW095,120,382222,4142070
LAW095,40,ATCA2,7,2022,NA,LAW095,120,382222,4142070
LAW095,40,ATPO,5,2022,NA,LAW095,120,382222,4142070
LAW094,41,SATR12,4,2022,NA,LAW094,40,382289,4141814
LAW094,41,ATCA2,10,2022,NA,LAW094,40,382289,4141814
LAW094,41,KRLA2,1,2022,NA,LAW094,40,382289,4141814
LAW094,41,ATPO,6,2022,NA,LAW094,40,382289,4141814
LAW094,42,SATR12,5,2022,NA,LAW094,220,382305,4141964
LAW094,42,ATCA2,16,2022,NA,LAW094,220,382305,4141964
LAW094,42,ATPO,7,2022,NA,LAW094,220,382305,4141964
LAW094,43,SATR12,5,2022,NA,LAW094,40,382325,4142141
LAW094,43,ATCA2,14,2022,NA,LAW094,40,382325,4142141
LAW094,43,ATPO,6,2022,NA,LAW094,40,382325,4142141
LAW094,44,SATR12,4,2022,NA,LAW094,120,382339,4142096
LAW094,44,ATCA2,8,2022,NA,LAW094,120,382339,4142096
LAW094,44,ATPO,13,2022,NA,LAW094,120,382339,4142096
LAW094,45,SATR12,3,2022,NA,LAW094,320,382349,4142004
LAW094,45,ATCA2,9,2022,NA,LAW094,320,382349,4142004
LAW094,45,ATPO,1,2022,NA,LAW094,320,382349,4142004
LAW094,46,SATR12,1,2022,NA,LAW094,40,382369,4141926
LAW094,46,ATPO,4,2022,NA,LAW094,40,382369,4141926
LAW094,46,PSARM,6,2022,NA,LAW094,40,382369,4141926
LAW094,46,ERNA10,16,2022,NA,LAW094,40,382369,4141926
LAW094,46,ENFA,4,2022,NA,LAW094,40,382369,4141926
LAW094,47,SATR12,6,2022,NA,LAW094,120,382385,4141846
LAW094,47,ATCA2,16,2022,NA,LAW094,120,382385,4141846
LAW094,47,KRLA2,4,2022,NA,LAW094,120,382385,4141846
LAW094,47,SPAI,1,2022,NA,LAW094,120,382385,4141846
LAW094,48,ERNA10,10,2022,NA,LAW094,220,382428,4141892
LAW094,48,PSARM,4,2022,NA,LAW094,220,382428,4141892
LAW094,48,SATR12,6,2022,NA,LAW094,220,382428,4141892
