parcel,species,species_hits
LAW090,AMDU2,10
LAW090,ARTR2,4
LAW090,ATCA2,288
LAW090,ATPO,475
LAW090,ATTO,203
LAW090,ERNA10,119
LAW090,HECU3,3
LAW090,KRLA2,19
LAW090,POFR2,14
LAW090,SAVE4,15
LAW090,SPAI,7
LAW094,ATCA2,309
LAW094,ATPO,304
LAW094,ATTO,47
LAW094,ERNA10,89
LAW094,KRLA2,24
LAW094,LETR5,3
LAW094,PSARM,10
LAW094,SPAI,24
LAW095,AMDU2,12
LAW095,ATCA2,241
LAW095,ATPO,400
LAW095,ATTO,97
LAW095,DISP,17
LAW095,ERNA10,130
LAW095,KRLA2,5
LAW095,LETR5,5
LAW095,LYCO2,3
LAW095,SPAI,25
LAW118,ATCA2,161
LAW118,ATPO,378
LAW118,ERNA10,262
LAW118,IVAX,12
LAW129,ATCA2,71
LAW129,ATPO,43
LAW129,COAR4,12
LAW129,ERNA10,610
LAW129,KRLA2,4
