parcel,species,species_hits
LAW090,ACHY,2
LAW090,ACSP12,0
LAW090,AMDU2,10
LAW090,ARTR2,4
LAW090,ARTRT,0
LAW090,ASFA,0
LAW090,ATCA2,288
LAW090,ATPO,475
LAW090,ATTO,203
LAW090,ERNA10,119
LAW090,GRSP,0
LAW090,HECU3,3
LAW090,KRLA2,19
LAW090,MACA17,1
LAW090,POFR2,14
LAW090,PSARM,1
LAW090,SAVE4,15
LAW090,SPAI,7
LAW094,ACHY,0
LAW094,ACSP12,0
LAW094,ATCA2,309
LAW094,ATCO,0
LAW094,ATPO,304
LAW094,ATTO,47
LAW094,DISP,2
LAW094,ENAC,2
LAW094,ERFA2,0
LAW094,ERNA10,89
LAW094,KRLA2,24
LAW094,LEFR2,0
LAW094,LETR5,3
LAW094,LYCO2,0
LAW094,MESP2,0
LAW094,PSARM,10
LAW094,PSPO,0
LAW094,SPAI,24
LAW094,STEPH,0
LAW095,ACSP12,0
LAW095,AMDU2,12
LAW095,ATCA2,241
LAW095,ATCO,0
LAW095,ATPO,400
LAW095,ATTO,97
LAW095,DISP,17
LAW095,ENAC,0
LAW095,ERFA2,0
LAW095,ERNA10,130
LAW095,KRLA2,5
LAW095,LECI4,1
LAW095,LEFR2,1
LAW095,LETR5,5
LAW095,LYCO2,3
LAW095,POFR2,0
LAW095,PSPO,0
LAW095,SPAI,25
LAW118,ACHY,1
LAW118,ARTR2,2
LAW118,ATCA2,161
LAW118,ATPO,378
LAW118,COAR4,1
LAW118,DISP,2
LAW118,ERNA10,262
LAW118,IVAX,12
LAW118,KRLA2,1
LAW118,SPAI,2
LAW118,STPA4,1
LAW118,SYAS3,1
LAW129,ATCA2,71
LAW129,ATPO,43
LAW129,COAR4,12
LAW129,ERNA10,610
LAW129,IVAX,2
LAW129,KRLA2,4
