parcel,year,transect,species,hits,Lifeform,Lifecycle
LAW012,2024,1,ATCO,1,Shrub,Perennial
LAW012,2024,1,SATR12,7,Herb,Annual
LAW012,2024,10,ATCO,2,Shrub,Perennial
LAW012,2024,10,PSARM,7,Shrub,Perennial
LAW012,2024,10,SATR12,4,Herb,Annual
LAW012,2024,11,LEFR2,1,Shrub,Perennial
LAW012,2024,11,PSARM,13,Shrub,Perennial
LAW012,2024,11,SATR12,1,Herb,Annual
LAW012,2024,12,ATCO,2,Shrub,Perennial
LAW012,2024,12,PSARM,7,Shrub,Perennial
LAW012,2024,12,SATR12,3,Herb,Annual
LAW012,2024,13,ERIN4,2,Herb,Annual/Perennial
LAW012,2024,13,PSARM,5,Shrub,Perennial
LAW012,2024,14,ATCO,3,Shrub,Perennial
LAW012,2024,14,PSARM,10,Shrub,Perennial
LAW012,2024,14,SATR12,1,Herb,Annual
LAW012,2024,15,ATCO,1,Shrub,Perennial
LAW012,2024,15,LEFR2,1,Shrub,Perennial
LAW012,2024,15,LYAN,3,Shrub,Perennial
LAW012,2024,15,PSARM,10,Shrub,Perennial
LAW012,2024,15,XYTOT,3,NA,NA
LAW012,2024,16,ATCO,4,Shrub,Perennial
LAW012,2024,16,KRLA2,1,Shrub,Perennial
LAW012,2024,16,PSARM,6,Shrub,Perennial
LAW012,2024,16,SATR12,5,Herb,Annual
LAW012,2024,17,ATCO,8,Shrub,Perennial
LAW012,2024,17,SAVE4,1,Shrub,Perennial
LAW012,2024,18,ATCO,3,Shrub,Perennial
LAW012,2024,18,LEFR2,1,Shrub,Perennial
LAW012,2024,18,PSARM,5,Shrub,Perennial
LAW012,2024,18,SATR12,4,Herb,Annual
LAW012,2024,19,ATCO,5,Shrub,Perennial
LAW012,2024,19,KRLA2,1,Shrub,Perennial
LAW012,2024,19,PSARM,7,Shrub,Perennial
LAW012,2024,19,SATR12,1,Herb,Annual
LAW012,2024,2,ATCO,4,Shrub,Perennial
LAW012,2024,2,PSARM,11,Shrub,Perennial
LAW012,2024,2,SATR12,1,Herb,Annual
LAW012,2024,20b,ATCO,1,Shrub,Perennial
LAW012,2024,20b,PSARM,9,Shrub,Perennial
LAW012,2024,21,ATCO,12,Shrub,Perennial
LAW012,2024,22,PSARM,7,Shrub,Perennial
