"parcel","year","transect","data_source","reference_group"
"LAW029",2022,"1","reference","LAW118/129"
"LAW029",2022,"10","reference","LAW118/129"
"LAW029",2022,"11","reference","LAW118/129"
"LAW029",2022,"13","reference","LAW118/129"
"LAW029",2022,"14","reference","LAW118/129"
"LAW029",2022,"15","reference","LAW118/129"
"LAW029",2022,"16","reference","LAW118/129"
"LAW029",2022,"17","reference","LAW118/129"
"LAW029",2022,"18","reference","LAW118/129"
"LAW029",2022,"19","reference","LAW118/129"
"LAW029",2022,"2","reference","LAW118/129"
"LAW029",2022,"21","reference","LAW118/129"
"LAW029",2022,"22","reference","LAW118/129"
"LAW029",2022,"23","reference","LAW118/129"
"LAW029",2022,"24","reference","LAW118/129"
"LAW029",2022,"25","reference","LAW118/129"
"LAW029",2022,"5","reference","LAW118/129"
"LAW029",2022,"6","reference","LAW118/129"
"LAW029",2022,"7","reference","LAW118/129"
"LAW029",2022,"9","reference","LAW118/129"
"LAW029",2023,"1","reference","LAW118/129"
"LAW029",2023,"10","reference","LAW118/129"
"LAW029",2023,"11","reference","LAW118/129"
"LAW029",2023,"12","reference","LAW118/129"
"LAW029",2023,"13","reference","LAW118/129"
"LAW029",2023,"14","reference","LAW118/129"
"LAW029",2023,"15","reference","LAW118/129"
"LAW029",2023,"16","reference","LAW118/129"
"LAW029",2023,"17","reference","LAW118/129"
"LAW029",2023,"18","reference","LAW118/129"
"LAW029",2023,"19","reference","LAW118/129"
"LAW029",2023,"2","reference","LAW118/129"
"LAW029",2023,"20","reference","LAW118/129"
"LAW029",2023,"21","reference","LAW118/129"
"LAW029",2023,"22","reference","LAW118/129"
"LAW029",2023,"23","reference","LAW118/129"
"LAW029",2023,"24","reference","LAW118/129"
"LAW029",2023,"25","reference","LAW118/129"
"LAW029",2023,"26","reference","LAW118/129"
"LAW029",2023,"27","reference","LAW118/129"
"LAW029",2023,"28","reference","LAW118/129"
"LAW029",2023,"29","reference","LAW118/129"
"LAW029",2023,"3","reference","LAW118/129"
"LAW029",2023,"30","reference","LAW118/129"
"LAW029",2023,"31","reference","LAW118/129"
"LAW029",2023,"32","reference","LAW118/129"
"LAW029",2023,"33","reference","LAW118/129"
"LAW029",2023,"34","reference","LAW118/129"
"LAW029",2023,"35","reference","LAW118/129"
"LAW029",2023,"36","reference","LAW118/129"
"LAW029",2023,"37","reference","LAW118/129"
"LAW029",2023,"38","reference","LAW118/129"
"LAW029",2023,"39","reference","LAW118/129"
"LAW029",2023,"4","reference","LAW118/129"
"LAW029",2023,"40","reference","LAW118/129"
"LAW029",2023,"5","reference","LAW118/129"
"LAW029",2023,"6","reference","LAW118/129"
"LAW029",2023,"7","reference","LAW118/129"
"LAW029",2023,"8","reference","LAW118/129"
"LAW029",2023,"9","reference","LAW118/129"
"LAW029",2025,"10a","reference","LAW118/129"
"LAW029",2025,"11e","reference","LAW118/129"
"LAW029",2025,"12b","reference","LAW118/129"
"LAW029",2025,"13a","reference","LAW118/129"
"LAW029",2025,"14a","reference","LAW118/129"
"LAW029",2025,"15c","reference","LAW118/129"
"LAW029",2025,"1d","reference","LAW118/129"
"LAW029",2025,"2d","reference","LAW118/129"
"LAW029",2025,"3e","reference","LAW118/129"
"LAW029",2025,"4a","reference","LAW118/129"
"LAW029",2025,"5e","reference","LAW118/129"
"LAW029",2025,"6a","reference","LAW118/129"
"LAW029",2025,"7a","reference","LAW118/129"
"LAW029",2025,"8d","reference","LAW118/129"
"LAW029",2025,"9a","reference","LAW118/129"
"LAW039",2023,"1","reference","LAW118/129"
"LAW039",2023,"10","reference","LAW118/129"
"LAW039",2023,"11","reference","LAW118/129"
"LAW039",2023,"12","reference","LAW118/129"
"LAW039",2023,"2","reference","LAW118/129"
"LAW039",2023,"3","reference","LAW118/129"
"LAW039",2023,"4","reference","LAW118/129"
"LAW039",2023,"5","reference","LAW118/129"
"LAW039",2023,"6","reference","LAW118/129"
"LAW039",2023,"7","reference","LAW118/129"
"LAW039",2023,"8","reference","LAW118/129"
"LAW039",2023,"9","reference","LAW118/129"
"LAW039",2025,"1a","reference","LAW118/129"
"LAW039",2025,"2a","reference","LAW118/129"
"LAW039",2025,"3a","reference","LAW118/129"
"LAW039",2025,"4d","reference","LAW118/129"
"LAW039",2025,"5d","reference","LAW118/129"
"LAW039",2025,"6d","reference","LAW118/129"
"LAW039",2025,"7a","reference","LAW118/129"
"LAW039",2025,"8a","reference","LAW118/129"
"LAW069",2023,"1","reference","LAW118/129"
"LAW069",2023,"10","reference","LAW118/129"
"LAW069",2023,"11","reference","LAW118/129"
"LAW069",2023,"12","reference","LAW118/129"
"LAW069",2023,"2","reference","LAW118/129"
"LAW069",2023,"3","reference","LAW118/129"
"LAW069",2023,"4","reference","LAW118/129"
"LAW069",2023,"5","reference","LAW118/129"
"LAW069",2023,"6","reference","LAW118/129"
"LAW069",2023,"7","reference","LAW118/129"
"LAW069",2023,"8","reference","LAW118/129"
"LAW069",2023,"9","reference","LAW118/129"
"LAW069",2025,"1e","reference","LAW118/129"
"LAW069",2025,"2a","reference","LAW118/129"
"LAW069",2025,"3a","reference","LAW118/129"
"LAW069",2025,"4e","reference","LAW118/129"
"LAW069",2025,"5a","reference","LAW118/129"
"LAW069",2025,"6a","reference","LAW118/129"
"LAW069",2025,"7a","reference","LAW118/129"
"LAW069",2025,"8a","reference","LAW118/129"
"LAW104",2023,"1","reference","LAW118/129"
"LAW104",2023,"10","reference","LAW118/129"
"LAW104",2023,"11","reference","LAW118/129"
"LAW104",2023,"12","reference","LAW118/129"
"LAW104",2023,"2","reference","LAW118/129"
"LAW104",2023,"3","reference","LAW118/129"
"LAW104",2023,"4","reference","LAW118/129"
"LAW104",2023,"5","reference","LAW118/129"
"LAW104",2023,"6","reference","LAW118/129"
"LAW104",2023,"7","reference","LAW118/129"
"LAW104",2023,"8","reference","LAW118/129"
"LAW104",2023,"9","reference","LAW118/129"
"LAW104",2025,"1a","reference","LAW118/129"
"LAW104",2025,"2a","reference","LAW118/129"
"LAW104",2025,"3b","reference","LAW118/129"
"LAW104",2025,"4a","reference","LAW118/129"
"LAW104",2025,"5a","reference","LAW118/129"
"LAW119",2023,"1","reference","LAW118/129"
"LAW119",2023,"10","reference","LAW118/129"
"LAW119",2023,"11","reference","LAW118/129"
"LAW119",2023,"12","reference","LAW118/129"
"LAW119",2023,"13","reference","LAW118/129"
"LAW119",2023,"14","reference","LAW118/129"
"LAW119",2023,"15","reference","LAW118/129"
"LAW119",2023,"16","reference","LAW118/129"
"LAW119",2023,"17","reference","LAW118/129"
"LAW119",2023,"18","reference","LAW118/129"
"LAW119",2023,"19","reference","LAW118/129"
"LAW119",2023,"2","reference","LAW118/129"
"LAW119",2023,"20","reference","LAW118/129"
"LAW119",2023,"22","reference","LAW118/129"
"LAW119",2023,"23","reference","LAW118/129"
"LAW119",2023,"24","reference","LAW118/129"
"LAW119",2023,"25","reference","LAW118/129"
"LAW119",2023,"26","reference","LAW118/129"
"LAW119",2023,"27","reference","LAW118/129"
"LAW119",2023,"28","reference","LAW118/129"
"LAW119",2023,"29","reference","LAW118/129"
"LAW119",2023,"3","reference","LAW118/129"
"LAW119",2023,"30","reference","LAW118/129"
"LAW119",2023,"31","reference","LAW118/129"
"LAW119",2023,"32","reference","LAW118/129"
"LAW119",2023,"33","reference","LAW118/129"
"LAW119",2023,"34","reference","LAW118/129"
"LAW119",2023,"35","reference","LAW118/129"
"LAW119",2023,"36","reference","LAW118/129"
"LAW119",2023,"37","reference","LAW118/129"
"LAW119",2023,"39","reference","LAW118/129"
"LAW119",2023,"4","reference","LAW118/129"
"LAW119",2023,"40","reference","LAW118/129"
"LAW119",2023,"41","reference","LAW118/129"
"LAW119",2023,"42","reference","LAW118/129"
"LAW119",2023,"43","reference","LAW118/129"
"LAW119",2023,"44","reference","LAW118/129"
"LAW119",2023,"45","reference","LAW118/129"
"LAW119",2023,"46","reference","LAW118/129"
"LAW119",2023,"47","reference","LAW118/129"
"LAW119",2023,"48","reference","LAW118/129"
"LAW119",2023,"49","reference","LAW118/129"
