"","Parcel","Year","Species","Cover","Relative_Cover","Perennial"
"1","LAW029",2022,"ACHY",0,0,11.85
"2","LAW029",2022,"ALOC2",0.15,1.26582278481013,11.85
"3","LAW029",2022,"ARTR2",0,0,11.85
"4","LAW029",2022,"ASFA",0,0,11.85
"5","LAW029",2022,"ATCA2",0.2,1.68776371308017,11.85
"6","LAW029",2022,"ATCO",2.3,19.4092827004219,11.85
"7","LAW029",2022,"ATPA3",0,0,11.85
"8","LAW029",2022,"ATPO",0,0,11.85
"9","LAW029",2022,"ATTO",3.6,30.379746835443,11.85
"10","LAW029",2022,"BOMA7",0,0,11.85
"11","LAW029",2022,"CALI4",0,0,11.85
"12","LAW029",2022,"DISP",1.45,12.2362869198312,11.85
"13","LAW029",2022,"EPCI",0,0,11.85
"14","LAW029",2022,"EPNE",0,0,11.85
"15","LAW029",2022,"ERNA10",0.95,8.0168776371308,11.85
"16","LAW029",2022,"EUOC4",0,0,11.85
"17","LAW029",2022,"HECU3",0,0,11.85
"18","LAW029",2022,"HOJU",0,0,11.85
"19","LAW029",2022,"IVAX",0,0,11.85
"20","LAW029",2022,"JUARL",0,0,11.85
"21","LAW029",2022,"JUTO",0,0,11.85
"22","LAW029",2022,"KRLA2",0,0,11.85
"23","LAW029",2022,"LETR5",0,0,11.85
"24","LAW029",2022,"MACA17",0,0,11.85
"25","LAW029",2022,"MALE3",0,0,11.85
"26","LAW029",2022,"MUAS",0,0,11.85
"27","LAW029",2022,"POFR2",0,0,11.85
"28","LAW029",2022,"PSARM",0,0,11.85
"29","LAW029",2022,"PSPO",0,0,11.85
"30","LAW029",2022,"SAEX",0,0,11.85
"31","LAW029",2022,"SALA3",0,0,11.85
"32","LAW029",2022,"SALA6",0,0,11.85
"33","LAW029",2022,"SAVE4",2.75,23.2067510548523,11.85
"34","LAW029",2022,"SPAI",0,0,11.85
"35","LAW029",2022,"SUMO",0.45,3.79746835443038,11.85
"36","LAW029",2022,"TEAX",0,0,11.85
"37","LAW029",2022,"TEGL",0,0,11.85
"38","LAW029",2022,"TYLA",0,0,11.85
"39","LAW029",2023,"ACHY",0,0,19.2
"40","LAW029",2023,"ALOC2",0.05,0.260416666666667,19.2
"41","LAW029",2023,"ARTR2",0,0,19.2
"42","LAW029",2023,"ASFA",0.05,0.260416666666667,19.2
"43","LAW029",2023,"ATCA2",0.025,0.130208333333333,19.2
"44","LAW029",2023,"ATCO",2.8,14.5833333333333,19.2
"45","LAW029",2023,"ATPA3",0,0,19.2
"46","LAW029",2023,"ATPO",0.025,0.130208333333333,19.2
"47","LAW029",2023,"ATTO",6.05,31.5104166666667,19.2
"48","LAW029",2023,"BOMA7",0,0,19.2
"49","LAW029",2023,"CALI4",0,0,19.2
"50","LAW029",2023,"DISP",1.9,9.89583333333333,19.2
"51","LAW029",2023,"EPCI",0,0,19.2
"52","LAW029",2023,"EPNE",0,0,19.2
"53","LAW029",2023,"ERNA10",3.475,18.0989583333333,19.2
"54","LAW029",2023,"EUOC4",0,0,19.2
"55","LAW029",2023,"HECU3",0,0,19.2
"56","LAW029",2023,"HOJU",0,0,19.2
"57","LAW029",2023,"IVAX",0.1,0.520833333333333,19.2
"58","LAW029",2023,"JUARL",0.6,3.125,19.2
"59","LAW029",2023,"JUTO",0,0,19.2
"60","LAW029",2023,"KRLA2",0,0,19.2
"61","LAW029",2023,"LETR5",0.1,0.520833333333333,19.2
"62","LAW029",2023,"MACA17",0,0,19.2
"63","LAW029",2023,"MALE3",0,0,19.2
"64","LAW029",2023,"MUAS",0.05,0.260416666666667,19.2
"65","LAW029",2023,"POFR2",0,0,19.2
"66","LAW029",2023,"PSARM",0.025,0.130208333333333,19.2
"67","LAW029",2023,"PSPO",0,0,19.2
"68","LAW029",2023,"SAEX",0,0,19.2
"69","LAW029",2023,"SALA3",0,0,19.2
"70","LAW029",2023,"SALA6",0,0,19.2
"71","LAW029",2023,"SAVE4",3.775,19.6614583333333,19.2
"72","LAW029",2023,"SPAI",0,0,19.2
"73","LAW029",2023,"SUMO",0.125,0.651041666666667,19.2
"74","LAW029",2023,"TEAX",0,0,19.2
"75","LAW029",2023,"TEGL",0,0,19.2
"76","LAW029",2023,"TYLA",0.05,0.260416666666667,19.2
"77","LAW039",2023,"ACHY",0,0,13.0833333333333
"78","LAW039",2023,"ALOC2",0,0,13.0833333333333
"79","LAW039",2023,"ARTR2",0,0,13.0833333333333
"80","LAW039",2023,"ASFA",0,0,13.0833333333333
"81","LAW039",2023,"ATCA2",0,0,13.0833333333333
"82","LAW039",2023,"ATCO",5,38.2165605095541,13.0833333333333
"83","LAW039",2023,"ATPA3",0,0,13.0833333333333
"84","LAW039",2023,"ATPO",0,0,13.0833333333333
"85","LAW039",2023,"ATTO",0,0,13.0833333333333
"86","LAW039",2023,"BOMA7",0,0,13.0833333333333
"87","LAW039",2023,"CALI4",0,0,13.0833333333333
"88","LAW039",2023,"DISP",0,0,13.0833333333333
"89","LAW039",2023,"EPCI",0,0,13.0833333333333
"90","LAW039",2023,"EPNE",0,0,13.0833333333333
"91","LAW039",2023,"ERNA10",0,0,13.0833333333333
"92","LAW039",2023,"EUOC4",0,0,13.0833333333333
"93","LAW039",2023,"HECU3",0,0,13.0833333333333
"94","LAW039",2023,"HOJU",0,0,13.0833333333333
"95","LAW039",2023,"IVAX",0,0,13.0833333333333
"96","LAW039",2023,"JUARL",0,0,13.0833333333333
"97","LAW039",2023,"JUTO",0,0,13.0833333333333
"98","LAW039",2023,"KRLA2",0,0,13.0833333333333
"99","LAW039",2023,"LETR5",0,0,13.0833333333333
"100","LAW039",2023,"MACA17",0,0,13.0833333333333
"101","LAW039",2023,"MALE3",0,0,13.0833333333333
"102","LAW039",2023,"MUAS",0,0,13.0833333333333
"103","LAW039",2023,"POFR2",0,0,13.0833333333333
"104","LAW039",2023,"PSARM",2.33333333333333,17.8343949044586,13.0833333333333
"105","LAW039",2023,"PSPO",0.0833333333333333,0.636942675159236,13.0833333333333
"106","LAW039",2023,"SAEX",0,0,13.0833333333333
"107","LAW039",2023,"SALA3",0,0,13.0833333333333
"108","LAW039",2023,"SALA6",0,0,13.0833333333333
"109","LAW039",2023,"SAVE4",5.66666666666667,43.312101910828,13.0833333333333
"110","LAW039",2023,"SPAI",0,0,13.0833333333333
"111","LAW039",2023,"SUMO",0,0,13.0833333333333
"112","LAW039",2023,"TEAX",0,0,13.0833333333333
"113","LAW039",2023,"TEGL",0,0,13.0833333333333
"114","LAW039",2023,"TYLA",0,0,13.0833333333333
"115","LAW069",2023,"ACHY",0,0,18.9090909090909
"116","LAW069",2023,"ALOC2",0,0,18.9090909090909
"117","LAW069",2023,"ARTR2",0,0,18.9090909090909
"118","LAW069",2023,"ASFA",0,0,18.9090909090909
"119","LAW069",2023,"ATCA2",2.63636363636364,13.9423076923077,18.9090909090909
"120","LAW069",2023,"ATCO",0,0,18.9090909090909
