"reference_group","parcel","year","n_transects"
"LAW118/129","LAW029",2022,20
"LAW118/129","LAW029",2023,40
"LAW118/129","LAW029",2025,15
"LAW118/129","LAW039",2023,12
"LAW118/129","LAW039",2025,8
"LAW118/129","LAW069",2023,12
"LAW118/129","LAW069",2025,8
"LAW118/129","LAW104",2023,12
"LAW118/129","LAW104",2025,5
"LAW118/129","LAW119",2023,62
"LAW118/129","LAW119",2025,15
"LAW118/129","PLC202",2023,12
"LAW118/129","PLC202",2025,5
"LAW118/129","PLC219",2022,19
"LAW118/129","PLC219",2023,29
"LAW118/129","PLC219",2025,15
"LAW118/129","PLC227",2023,32
"LAW118/129","PLC227",2025,10
"LAW118/129","PLC230",2023,40
"LAW118/129","PLC230",2025,15
"LAW90/94/95","LAW012",2024,30
"LAW90/94/95","LAW012",2025,40
"LAW90/94/95","LAW024",2024,10
"LAW90/94/95","LAW024",2025,10
"LAW90/94/95","LAW028",2022,7
"LAW90/94/95","LAW028",2024,20
"LAW90/94/95","LAW028",2025,20
"LAW90/94/95","LAW048",2022,7
"LAW90/94/95","LAW048",2025,8
"LAW90/94/95","LAW049",2022,33
"LAW90/94/95","LAW049",2025,10
"LAW90/94/95","LAW091",2022,1
"LAW90/94/95","LAW091",2025,8
"LAW90/94/95","LAW093",2022,14
"LAW90/94/95","LAW093",2025,5
"LAW90/94/95","LAW117",2022,48
"LAW90/94/95","LAW117",2025,30
"LAW90/94/95","LAW130",2024,10
"LAW90/94/95","LAW130",2025,10
"LAW90/94/95","LAW134",2024,20
"LAW90/94/95","LAW134",2025,20
