"parcel","year","transect"
"LAW012",2024,"1"
"LAW012",2024,"10"
"LAW012",2024,"11"
"LAW012",2024,"12"
"LAW012",2024,"13"
"LAW012",2024,"14"
"LAW012",2024,"15"
"LAW012",2024,"16"
"LAW012",2024,"17"
"LAW012",2024,"18"
"LAW012",2024,"19"
"LAW012",2024,"2"
"LAW012",2024,"20b"
"LAW012",2024,"21"
"LAW012",2024,"22"
"LAW012",2024,"23"
"LAW012",2024,"24"
"LAW012",2024,"25"
"LAW012",2024,"26"
"LAW012",2024,"27b"
"LAW012",2024,"28"
"LAW012",2024,"29"
"LAW012",2024,"3"
"LAW012",2024,"30"
"LAW012",2024,"4"
"LAW012",2024,"5b"
"LAW012",2024,"6"
"LAW012",2024,"7"
"LAW012",2024,"8"
"LAW012",2024,"9"
"LAW012",2025,"1"
"LAW012",2025,"10"
"LAW012",2025,"11"
"LAW012",2025,"12"
"LAW012",2025,"13"
"LAW012",2025,"14"
"LAW012",2025,"15"
"LAW012",2025,"16"
"LAW012",2025,"17"
"LAW012",2025,"18"
"LAW012",2025,"19"
"LAW012",2025,"2"
"LAW012",2025,"20"
"LAW012",2025,"21"
"LAW012",2025,"22"
"LAW012",2025,"23"
"LAW012",2025,"24"
"LAW012",2025,"25"
"LAW012",2025,"26"
"LAW012",2025,"27"
"LAW012",2025,"28"
"LAW012",2025,"29"
"LAW012",2025,"3"
"LAW012",2025,"30"
"LAW012",2025,"31"
"LAW012",2025,"32"
"LAW012",2025,"33"
"LAW012",2025,"34"
"LAW012",2025,"35"
"LAW012",2025,"36"
"LAW012",2025,"37"
"LAW012",2025,"38"
"LAW012",2025,"39"
"LAW012",2025,"4"
"LAW012",2025,"40"
"LAW012",2025,"5"
"LAW012",2025,"6"
"LAW012",2025,"7"
"LAW012",2025,"8"
"LAW012",2025,"9"
"LAW024",2024,"1"
"LAW024",2024,"10"
"LAW024",2024,"2"
"LAW024",2024,"3b"
"LAW024",2024,"4"
"LAW024",2024,"5"
"LAW024",2024,"6c"
"LAW024",2024,"7"
"LAW024",2024,"8c"
"LAW024",2024,"9b"
"LAW024",2025,"1"
"LAW024",2025,"10"
"LAW024",2025,"2"
"LAW024",2025,"3"
"LAW024",2025,"4"
"LAW024",2025,"5"
"LAW024",2025,"6"
"LAW024",2025,"7"
"LAW024",2025,"8"
"LAW024",2025,"9"
"LAW028",2022,"12"
"LAW028",2022,"14"
"LAW028",2022,"18"
"LAW028",2022,"3"
"LAW028",2022,"4"
"LAW028",2022,"73"
"LAW028",2022,"8"
"LAW028",2024,"1"
"LAW028",2024,"10"
"LAW028",2024,"11"
"LAW028",2024,"12"
"LAW028",2024,"13"
"LAW028",2024,"14"
"LAW028",2024,"15"
"LAW028",2024,"16"
"LAW028",2024,"17"
"LAW028",2024,"18"
"LAW028",2024,"19"
"LAW028",2024,"2"
"LAW028",2024,"20"
"LAW028",2024,"3"
"LAW028",2024,"4"
"LAW028",2024,"5"
"LAW028",2024,"6"
"LAW028",2024,"7b"
"LAW028",2024,"8b"
"LAW028",2024,"9"
"LAW028",2025,"1"
"LAW028",2025,"10"
"LAW028",2025,"11"
"LAW028",2025,"12"
"LAW028",2025,"13"
"LAW028",2025,"14"
"LAW028",2025,"15"
"LAW028",2025,"16"
"LAW028",2025,"17"
"LAW028",2025,"18"
"LAW028",2025,"19"
"LAW028",2025,"2"
"LAW028",2025,"20"
"LAW028",2025,"3"
"LAW028",2025,"4"
"LAW028",2025,"5"
"LAW028",2025,"6"
"LAW028",2025,"7"
"LAW028",2025,"8"
"LAW028",2025,"9"
"LAW029",2022,"1"
"LAW029",2022,"10"
"LAW029",2022,"11"
"LAW029",2022,"13"
"LAW029",2022,"14"
"LAW029",2022,"15"
"LAW029",2022,"16"
"LAW029",2022,"17"
"LAW029",2022,"18"
"LAW029",2022,"19"
"LAW029",2022,"2"
"LAW029",2022,"21"
"LAW029",2022,"22"
"LAW029",2022,"23"
"LAW029",2022,"24"
"LAW029",2022,"25"
"LAW029",2022,"5"
"LAW029",2022,"6"
"LAW029",2022,"7"
"LAW029",2022,"9"
"LAW029",2023,"1"
"LAW029",2023,"10"
"LAW029",2023,"11"
"LAW029",2023,"12"
"LAW029",2023,"13"
"LAW029",2023,"14"
"LAW029",2023,"15"
"LAW029",2023,"16"
"LAW029",2023,"17"
"LAW029",2023,"18"
"LAW029",2023,"19"
"LAW029",2023,"2"
"LAW029",2023,"20"
"LAW029",2023,"21"
"LAW029",2023,"22"
"LAW029",2023,"23"
"LAW029",2023,"24"
"LAW029",2023,"25"
"LAW029",2023,"26"
"LAW029",2023,"27"
"LAW029",2023,"28"
"LAW029",2023,"29"
"LAW029",2023,"3"
"LAW029",2023,"30"
"LAW029",2023,"31"
"LAW029",2023,"32"
"LAW029",2023,"33"
"LAW029",2023,"34"
"LAW029",2023,"35"
"LAW029",2023,"36"
"LAW029",2023,"37"
"LAW029",2023,"38"
"LAW029",2023,"39"
"LAW029",2023,"4"
"LAW029",2023,"40"
"LAW029",2023,"5"
"LAW029",2023,"6"
"LAW029",2023,"7"
"LAW029",2023,"8"
"LAW029",2023,"9"
"LAW029",2025,"10a"
"LAW029",2025,"11e"
"LAW029",2025,"12b"
"LAW029",2025,"13a"
"LAW029",2025,"14a"
"LAW029",2025,"15c"
"LAW029",2025,"1d"
"LAW029",2025,"2d"
"LAW029",2025,"3e"
"LAW029",2025,"4a"
"LAW029",2025,"5e"
"LAW029",2025,"6a"
"LAW029",2025,"7a"
"LAW029",2025,"8d"
"LAW029",2025,"9a"
"LAW039",2023,"1"
"LAW039",2023,"10"
"LAW039",2023,"11"
"LAW039",2023,"12"
"LAW039",2023,"2"
"LAW039",2023,"3"
"LAW039",2023,"4"
"LAW039",2023,"5"
"LAW039",2023,"6"
"LAW039",2023,"7"
"LAW039",2023,"8"
"LAW039",2023,"9"
"LAW039",2025,"1a"
"LAW039",2025,"2a"
"LAW039",2025,"3a"
"LAW039",2025,"4d"
"LAW039",2025,"5d"
"LAW039",2025,"6d"
"LAW039",2025,"7a"
"LAW039",2025,"8a"
"LAW048",2022,"15"
"LAW048",2022,"23"
"LAW048",2022,"24"
"LAW048",2022,"48"
"LAW048",2022,"51"
"LAW048",2022,"61"
"LAW048",2022,"64"
"LAW048",2025,"1"
"LAW048",2025,"2"
"LAW048",2025,"3"
"LAW048",2025,"4"
"LAW048",2025,"5"
"LAW048",2025,"6"
"LAW048",2025,"7"
"LAW048",2025,"8"
"LAW049",2022,"1"
"LAW049",2022,"10"
"LAW049",2022,"13"
"LAW049",2022,"16"
"LAW049",2022,"17"
"LAW049",2022,"2"
"LAW049",2022,"21"
"LAW049",2022,"22"
"LAW049",2022,"26"
"LAW049",2022,"27"
"LAW049",2022,"28"
"LAW049",2022,"29"
"LAW049",2022,"3"
"LAW049",2022,"30"
"LAW049",2022,"31"
"LAW049",2022,"33"
"LAW049",2022,"34"
"LAW049",2022,"35"
"LAW049",2022,"36"
"LAW049",2022,"37"
"LAW049",2022,"39"
"LAW049",2022,"4"
"LAW049",2022,"47"
"LAW049",2022,"49"
"LAW049",2022,"53"
"LAW049",2022,"55"
"LAW049",2022,"56"
"LAW049",2022,"63"
"LAW049",2022,"66"
"LAW049",2022,"67"
"LAW049",2022,"7"
"LAW049",2022,"8"
"LAW049",2022,"9"
"LAW049",2025,"1"
"LAW049",2025,"10"
"LAW049",2025,"2"
"LAW049",2025,"3"
"LAW049",2025,"4"
"LAW049",2025,"5"
"LAW049",2025,"6"
"LAW049",2025,"7"
"LAW049",2025,"8"
"LAW049",2025,"9"
"LAW069",2023,"1"
"LAW069",2023,"10"
"LAW069",2023,"11"
"LAW069",2023,"12"
"LAW069",2023,"2"
"LAW069",2023,"3"
"LAW069",2023,"4"
"LAW069",2023,"5"
"LAW069",2023,"6"
"LAW069",2023,"7"
"LAW069",2023,"8"
"LAW069",2023,"9"
"LAW069",2025,"1e"
"LAW069",2025,"2a"
"LAW069",2025,"3a"
"LAW069",2025,"4e"
"LAW069",2025,"5a"
"LAW069",2025,"6a"
"LAW069",2025,"7a"
"LAW069",2025,"8a"
"LAW091",2022,"1"
"LAW091",2025,"1"
"LAW091",2025,"2"
"LAW091",2025,"3"
"LAW091",2025,"4"
"LAW091",2025,"5"
"LAW091",2025,"6"
"LAW091",2025,"7"
"LAW091",2025,"8"
"LAW093",2022,"10"
"LAW093",2022,"11"
"LAW093",2022,"12"
"LAW093",2022,"13"
"LAW093",2022,"14"
"LAW093",2022,"15"
"LAW093",2022,"2"
"LAW093",2022,"3"
"LAW093",2022,"4"
"LAW093",2022,"5"
"LAW093",2022,"6"
"LAW093",2022,"7"
"LAW093",2022,"8"
"LAW093",2022,"9"
"LAW093",2025,"1"
"LAW093",2025,"2"
"LAW093",2025,"3"
"LAW093",2025,"4"
"LAW093",2025,"5"
"LAW104",2023,"1"
"LAW104",2023,"10"
"LAW104",2023,"11"
"LAW104",2023,"12"
"LAW104",2023,"2"
"LAW104",2023,"3"
"LAW104",2023,"4"
"LAW104",2023,"5"
"LAW104",2023,"6"
"LAW104",2023,"7"
"LAW104",2023,"8"
"LAW104",2023,"9"
"LAW104",2025,"1a"
"LAW104",2025,"2a"
"LAW104",2025,"3b"
"LAW104",2025,"4a"
"LAW104",2025,"5a"
"LAW117",2022,"1"
"LAW117",2022,"10"
"LAW117",2022,"11"
"LAW117",2022,"12"
"LAW117",2022,"14"
"LAW117",2022,"15"
"LAW117",2022,"16"
"LAW117",2022,"17"
"LAW117",2022,"18"
"LAW117",2022,"19"
"LAW117",2022,"20"
"LAW117",2022,"21"
"LAW117",2022,"22"
"LAW117",2022,"23"
"LAW117",2022,"24"
"LAW117",2022,"25"
"LAW117",2022,"26"
"LAW117",2022,"27"
"LAW117",2022,"28"
"LAW117",2022,"29"
"LAW117",2022,"3"
"LAW117",2022,"30"
"LAW117",2022,"31"
"LAW117",2022,"32"
"LAW117",2022,"33"
"LAW117",2022,"34"
"LAW117",2022,"35"
"LAW117",2022,"36"
"LAW117",2022,"37"
"LAW117",2022,"38"
"LAW117",2022,"39"
"LAW117",2022,"4"
"LAW117",2022,"40"
"LAW117",2022,"41"
"LAW117",2022,"42"
"LAW117",2022,"43"
"LAW117",2022,"44"
"LAW117",2022,"45"
"LAW117",2022,"46"
"LAW117",2022,"47"
"LAW117",2022,"48"
"LAW117",2022,"49"
"LAW117",2022,"5"
"LAW117",2022,"50"
"LAW117",2022,"6"
"LAW117",2022,"7"
"LAW117",2022,"8"
"LAW117",2022,"9"
"LAW117",2025,"1"
"LAW117",2025,"10"
"LAW117",2025,"11"
"LAW117",2025,"12"
"LAW117",2025,"13"
"LAW117",2025,"14"
"LAW117",2025,"15"
"LAW117",2025,"16"
"LAW117",2025,"17"
"LAW117",2025,"18"
"LAW117",2025,"19"
"LAW117",2025,"2"
"LAW117",2025,"20"
"LAW117",2025,"21"
"LAW117",2025,"22"
"LAW117",2025,"23"
"LAW117",2025,"24"
"LAW117",2025,"25"
"LAW117",2025,"26"
"LAW117",2025,"27"
"LAW117",2025,"28"
"LAW117",2025,"29"
"LAW117",2025,"3"
"LAW117",2025,"30"
"LAW117",2025,"4"
"LAW117",2025,"5"
"LAW117",2025,"6"
"LAW117",2025,"7"
"LAW117",2025,"8"
"LAW117",2025,"9"
"LAW119",2023,"1"
"LAW119",2023,"10"
"LAW119",2023,"11"
"LAW119",2023,"12"
"LAW119",2023,"13"
"LAW119",2023,"14"
"LAW119",2023,"15"
"LAW119",2023,"16"
"LAW119",2023,"17"
"LAW119",2023,"18"
"LAW119",2023,"19"
"LAW119",2023,"2"
"LAW119",2023,"20"
"LAW119",2023,"22"
"LAW119",2023,"23"
"LAW119",2023,"24"
"LAW119",2023,"25"
"LAW119",2023,"26"
"LAW119",2023,"27"
"LAW119",2023,"28"
"LAW119",2023,"29"
"LAW119",2023,"3"
"LAW119",2023,"30"
"LAW119",2023,"31"
"LAW119",2023,"32"
"LAW119",2023,"33"
"LAW119",2023,"34"
"LAW119",2023,"35"
"LAW119",2023,"36"
"LAW119",2023,"37"
"LAW119",2023,"39"
"LAW119",2023,"4"
"LAW119",2023,"40"
"LAW119",2023,"41"
"LAW119",2023,"42"
"LAW119",2023,"43"
"LAW119",2023,"44"
"LAW119",2023,"45"
"LAW119",2023,"46"
"LAW119",2023,"47"
"LAW119",2023,"48"
"LAW119",2023,"49"
"LAW119",2023,"5"
"LAW119",2023,"50"
"LAW119",2023,"51"
"LAW119",2023,"52"
"LAW119",2023,"53"
"LAW119",2023,"54"
"LAW119",2023,"55"
"LAW119",2023,"56"
"LAW119",2023,"57"
"LAW119",2023,"58"
"LAW119",2023,"59"
"LAW119",2023,"6"
"LAW119",2023,"60"
"LAW119",2023,"61"
"LAW119",2023,"62"
"LAW119",2023,"63"
"LAW119",2023,"64"
"LAW119",2023,"7"
"LAW119",2023,"8"
"LAW119",2023,"9"
"LAW119",2025,"10c"
"LAW119",2025,"11a"
"LAW119",2025,"12a"
"LAW119",2025,"13a"
"LAW119",2025,"14a"
"LAW119",2025,"15a"
"LAW119",2025,"1a"
"LAW119",2025,"2a"
"LAW119",2025,"3a"
"LAW119",2025,"4a"
"LAW119",2025,"5a"
"LAW119",2025,"6d"
"LAW119",2025,"7d"
"LAW119",2025,"8a"
"LAW119",2025,"9a"
"LAW130",2024,"1"
"LAW130",2024,"10b"
"LAW130",2024,"2"
"LAW130",2024,"3"
"LAW130",2024,"4"
"LAW130",2024,"5"
"LAW130",2024,"6"
"LAW130",2024,"7"
"LAW130",2024,"8"
"LAW130",2024,"9"
"LAW130",2025,"1"
"LAW130",2025,"10"
"LAW130",2025,"2"
"LAW130",2025,"3"
"LAW130",2025,"4"
"LAW130",2025,"5"
"LAW130",2025,"6"
"LAW130",2025,"7"
"LAW130",2025,"8"
"LAW130",2025,"9"
"LAW134",2024,"1"
"LAW134",2024,"10"
"LAW134",2024,"11"
"LAW134",2024,"12"
"LAW134",2024,"13"
"LAW134",2024,"14"
"LAW134",2024,"15"
"LAW134",2024,"16"
"LAW134",2024,"17"
"LAW134",2024,"18"
"LAW134",2024,"19"
"LAW134",2024,"2"
"LAW134",2024,"20"
"LAW134",2024,"3"
"LAW134",2024,"4"
"LAW134",2024,"5"
"LAW134",2024,"6"
"LAW134",2024,"7c"
"LAW134",2024,"8"
"LAW134",2024,"9"
"LAW134",2025,"1"
"LAW134",2025,"10"
"LAW134",2025,"11"
"LAW134",2025,"12"
"LAW134",2025,"13"
"LAW134",2025,"14"
"LAW134",2025,"15"
"LAW134",2025,"16"
"LAW134",2025,"17"
"LAW134",2025,"18"
"LAW134",2025,"19"
"LAW134",2025,"2"
"LAW134",2025,"20"
"LAW134",2025,"3"
"LAW134",2025,"4"
"LAW134",2025,"5"
"LAW134",2025,"6"
"LAW134",2025,"7"
"LAW134",2025,"8"
"LAW134",2025,"9"
"PLC202",2023,"1"
"PLC202",2023,"10"
"PLC202",2023,"11"
"PLC202",2023,"12"
"PLC202",2023,"2"
"PLC202",2023,"3"
"PLC202",2023,"4"
"PLC202",2023,"5"
"PLC202",2023,"6"
"PLC202",2023,"7"
"PLC202",2023,"8"
"PLC202",2023,"9"
"PLC202",2025,"1e"
"PLC202",2025,"2a"
"PLC202",2025,"3a"
"PLC202",2025,"4a"
"PLC202",2025,"5a"
"PLC219",2022,"20"
"PLC219",2022,"21"
"PLC219",2022,"22"
"PLC219",2022,"23"
"PLC219",2022,"27"
"PLC219",2022,"30"
"PLC219",2022,"37"
"PLC219",2022,"43"
"PLC219",2022,"44"
"PLC219",2022,"45"
"PLC219",2022,"46"
"PLC219",2022,"5"
"PLC219",2022,"52"
"PLC219",2022,"54"
"PLC219",2022,"6"
"PLC219",2022,"66"
"PLC219",2022,"70"
"PLC219",2022,"71"
"PLC219",2022,"82"
"PLC219",2023,"1"
"PLC219",2023,"10"
"PLC219",2023,"11"
"PLC219",2023,"12"
"PLC219",2023,"14"
"PLC219",2023,"15"
"PLC219",2023,"16"
"PLC219",2023,"17"
"PLC219",2023,"18"
"PLC219",2023,"19"
"PLC219",2023,"2"
"PLC219",2023,"20"
"PLC219",2023,"21"
"PLC219",2023,"22"
"PLC219",2023,"23"
"PLC219",2023,"26"
"PLC219",2023,"27"
"PLC219",2023,"28"
"PLC219",2023,"29"
"PLC219",2023,"3"
"PLC219",2023,"30"
"PLC219",2023,"31"
"PLC219",2023,"32"
"PLC219",2023,"4"
"PLC219",2023,"5"
"PLC219",2023,"6"
"PLC219",2023,"7"
"PLC219",2023,"8"
"PLC219",2023,"9"
"PLC219",2025,"10b"
"PLC219",2025,"11d"
"PLC219",2025,"12c"
"PLC219",2025,"13c"
"PLC219",2025,"14a"
"PLC219",2025,"15c"
"PLC219",2025,"1a"
"PLC219",2025,"2d"
"PLC219",2025,"3a"
"PLC219",2025,"4c"
"PLC219",2025,"5a"
"PLC219",2025,"6a"
"PLC219",2025,"7e"
"PLC219",2025,"8a"
"PLC219",2025,"9e"
"PLC227",2023,"1"
"PLC227",2023,"10"
"PLC227",2023,"11"
"PLC227",2023,"12"
"PLC227",2023,"13"
"PLC227",2023,"14"
"PLC227",2023,"15"
"PLC227",2023,"16"
"PLC227",2023,"17"
"PLC227",2023,"18"
"PLC227",2023,"19"
"PLC227",2023,"2"
"PLC227",2023,"20"
"PLC227",2023,"21"
"PLC227",2023,"22"
"PLC227",2023,"23"
"PLC227",2023,"24"
"PLC227",2023,"25"
"PLC227",2023,"26"
"PLC227",2023,"27"
"PLC227",2023,"28"
"PLC227",2023,"29"
"PLC227",2023,"3"
"PLC227",2023,"30"
"PLC227",2023,"31"
"PLC227",2023,"32"
"PLC227",2023,"4"
"PLC227",2023,"5"
"PLC227",2023,"6"
"PLC227",2023,"7"
"PLC227",2023,"8"
"PLC227",2023,"9"
"PLC227",2025,"10a"
"PLC227",2025,"1d"
"PLC227",2025,"2a"
"PLC227",2025,"3a"
"PLC227",2025,"4a"
"PLC227",2025,"5a"
"PLC227",2025,"6a"
"PLC227",2025,"7a"
"PLC227",2025,"8a"
"PLC227",2025,"9a"
"PLC230",2023,"1"
"PLC230",2023,"10"
"PLC230",2023,"11"
"PLC230",2023,"12"
"PLC230",2023,"13"
"PLC230",2023,"14"
"PLC230",2023,"15"
"PLC230",2023,"16"
"PLC230",2023,"17"
"PLC230",2023,"18"
"PLC230",2023,"19"
"PLC230",2023,"2"
"PLC230",2023,"20"
"PLC230",2023,"21"
"PLC230",2023,"22"
"PLC230",2023,"23"
"PLC230",2023,"24"
"PLC230",2023,"25"
"PLC230",2023,"26"
"PLC230",2023,"27"
"PLC230",2023,"28"
"PLC230",2023,"29"
"PLC230",2023,"3"
"PLC230",2023,"30"
"PLC230",2023,"31"
"PLC230",2023,"32"
"PLC230",2023,"33"
"PLC230",2023,"34"
"PLC230",2023,"35"
"PLC230",2023,"36"
"PLC230",2023,"37"
"PLC230",2023,"38"
"PLC230",2023,"39"
"PLC230",2023,"4"
"PLC230",2023,"40"
"PLC230",2023,"5"
"PLC230",2023,"6"
"PLC230",2023,"7"
"PLC230",2023,"8"
"PLC230",2023,"9"
"PLC230",2025,"10a"
"PLC230",2025,"11a"
"PLC230",2025,"12c"
"PLC230",2025,"13c"
"PLC230",2025,"14a"
"PLC230",2025,"15d"
"PLC230",2025,"1a"
"PLC230",2025,"2a"
"PLC230",2025,"3e"
"PLC230",2025,"4a"
"PLC230",2025,"5a"
"PLC230",2025,"6a"
"PLC230",2025,"7a"
"PLC230",2025,"8a"
"PLC230",2025,"9a"
