"reference_group","parcel","year","data_source","n_transects"
"LAW118/129","LAW029",2022,"reference",20
"LAW118/129","LAW029",2023,"reference",40
"LAW118/129","LAW029",2025,"reference",15
"LAW118/129","LAW039",2023,"reference",12
"LAW118/129","LAW039",2025,"reference",8
"LAW118/129","LAW069",2023,"reference",12
"LAW118/129","LAW069",2025,"reference",8
"LAW118/129","LAW104",2023,"reference",12
"LAW118/129","LAW104",2025,"reference",5
"LAW118/129","LAW119",2023,"reference",62
"LAW118/129","LAW119",2025,"reference",15
"LAW118/129","PLC202",2023,"reference",12
"LAW118/129","PLC202",2025,"reference",5
"LAW118/129","PLC219",2022,"reference",19
"LAW118/129","PLC219",2023,"reference",29
"LAW118/129","PLC219",2025,"reference",15
"LAW118/129","PLC227",2023,"reference",32
"LAW118/129","PLC227",2025,"reference",10
"LAW118/129","PLC230",2023,"reference",40
"LAW118/129","PLC230",2025,"reference",15
"LAW118/129 (Combined)","LAW129_118",2022,"revegetation",20
"LAW118/129 (Combined)","LAW129_118",2023,"revegetation",15
"LAW118/129 (Combined)","LAW129_118",2025,"revegetation",20
"LAW90/94/95","LAW012",2024,"reference",30
"LAW90/94/95","LAW012",2025,"reference",40
"LAW90/94/95","LAW024",2024,"reference",10
"LAW90/94/95","LAW024",2025,"reference",10
"LAW90/94/95","LAW028",2022,"reference",7
"LAW90/94/95","LAW028",2024,"reference",20
"LAW90/94/95","LAW028",2025,"reference",20
"LAW90/94/95","LAW048",2022,"reference",7
"LAW90/94/95","LAW048",2025,"reference",8
"LAW90/94/95","LAW049",2022,"reference",33
"LAW90/94/95","LAW049",2025,"reference",10
"LAW90/94/95","LAW090",2022,"revegetation",20
"LAW90/94/95","LAW090",2024,"revegetation",20
"LAW90/94/95","LAW090",2025,"revegetation",31
"LAW90/94/95","LAW091",2022,"reference",1
"LAW90/94/95","LAW091",2025,"reference",8
"LAW90/94/95","LAW093",2022,"reference",14
"LAW90/94/95","LAW093",2025,"reference",5
"LAW90/94/95","LAW094",2022,"revegetation",20
"LAW90/94/95","LAW094",2024,"revegetation",20
"LAW90/94/95","LAW094",2025,"revegetation",21
"LAW90/94/95","LAW095",2022,"revegetation",20
"LAW90/94/95","LAW095",2024,"revegetation",20
"LAW90/94/95","LAW095",2025,"revegetation",21
"LAW90/94/95","LAW117",2022,"reference",48
"LAW90/94/95","LAW117",2025,"reference",30
"LAW90/94/95","LAW130",2024,"reference",10
"LAW90/94/95","LAW130",2025,"reference",10
"LAW90/94/95","LAW134",2024,"reference",20
"LAW90/94/95","LAW134",2025,"reference",20
