NameChange,SubClass,SuperOrder,alt_order,Order,Family,Code,Species,Genus,Species.1,CommonName,OtherNotes,SourceCode,Phreatophyte,Noxious,Toxic,WeedyInOV,RareOrUncommon,Lifecycle,Veg_Type,USDA0,USDA8,Group,Provenance,Lifeform,Spore/Seed,Gymnosperm/Angio,Monocot/Dicot,tbl_species_veg_type_ID,addition_origin
NA,NA,NA,NA,NA,NA,2FORB,UNK,UNK,UNK,UNK,NA,NA,NA,NA,NA,NA,NA,Annual,forb,NA,NA,NA,NA,Herb,NA,NA,NA,NA,added 2017 to match LA codes
NA,NA,NA,NA,NA,NA,2GRAM,UNK,UNK,UNK,UNK,NA,NA,NA,NA,NA,NA,NA,Annual,grass,NA,NA,NA,NA,Grass,NA,NA,NA,NA,added 2017 to match LA codes
0,NA,NA,NA,NA,**,AAFF,Annual Forbs,Annual,Forbs,**,NA,"1,4",0,0,0,-1,0,Annual,forb,n/a,n/a,5,NA,Herb,NA,NA,NA,NA,NA
0,NA,NA,NA,Caryophyllales,Chenopodiaceae,AATRIP,Atriplex (annual),Atriplex,annual,"atriplex, annual",NA,"1,4,6",0,0,0,-1,0,Annual,weed,n/a,n/a,2,NA,Herb,Seed bearing plants,Angiosperm,Dicot,NA,NA
0,NA,NA,NA,NA,NA,ABAG,NA,NA,NA,Abandoned Agriculture,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,NA,NA,NA,Caryophyllales,Nyctaginaceae,ABRON,Abronia sp.,Abronia,sp,"verbena, Sand",NA,1,0,0,0,0,0,Annual/Perennial,forb,n/a,n/a,2,NA,Herb,Seed bearing plants,Angiosperm,Dicot,NA,NA
0,NA,NA,NA,Caryophyllales,Nyctaginaceae,ABTU,Abronia turbinata,Abronia,turbinata,"verbena, Transmontane sand",NA,4,0,0,0,0,0,Annual,forb,n/a,n/a,2,Native,Herb,Seed bearing plants,Angiosperm,Dicot,NA,NA
0,NA,NA,NA,Fabales,Fabaceae,ACAM4,Acmispon americanum,Acmispon,americanum,"trefoil, American bird's-foot",NA,"4,7",0,0,0,0,0,Annual,forb,n/a,n/a,NA,Native,Herb,Seed bearing plants,Angiosperm,Dicot,0,NA
0,NA,NA,NA,Asterales,Asteraceae,ACAMP,Acamptopappus,Acamptopappus,NA,Goldenhead,NA,1,0,0,0,0,0,Perennial,shrub,n/a,n/a,2,Native,Shrub,Seed bearing plants,Angiosperm,Dicot,NA,NA
0,NA,NA,NA,Ranunculales,Ranunculaceae,ACCO4,Aconitum columbianum,Aconitum,columbianum,"monkshood, Columbian",NA,7,GW dependent,0,0,0,0,Perennial,forb,FACW,FACW,2,Native,Herb,Seed bearing plants,Angiosperm,Dicot,NA,NA
0,NA,NA,NA,Hydrangeales,Montiaceae,ACER,Acer sp.,Acer,sp,Maple,NA,7,0,0,0,0,0,Perennial,shrub,NA,NA,2,NA,Shrub,Seed bearing plants,Angiosperm,Dicot,NA,NA
0,NA,NA,NA,Asterales,Asteraceae,ACHIL,Achillea sp.,Achillea,sp,Yarrow,NA,1,0,0,0,0,0,Annual/Perennial,forb,n/a,n/a,NA,NA,Herb,Seed bearing plants,Angiosperm,Dicot,0,NA
-1,NA,NA,NA,Poales,Poaceae,ACHNA,Achnatherum sp.,Achnatherum,sp,Needlegrass,Stipa sp.,7,0,0,0,0,0,Perennial,grass,n/a,n/a,4,NA,Grass,Seed bearing plants,Angiosperm,Monocot,NA,NA
-1,NA,NA,NA,Poales,Poaceae,ACHY,Achnatherum hymenoides,Achnatherum,hymenoides,"ricegrass, Indian",Stipa hymenoides,"1,2,3,4,7,8",0,0,0,0,0,Perennial,grass,UPL,UPL,4,Native,Grass,Seed bearing plants,Angiosperm,Monocot,NA,NA
0,NA,NA,NA,Asterales,Asteraceae,ACMI2,Achillea millefolium,Achillea,millefolium,"yarrow, Common",NA,7,0,0,0,0,0,Perennial,forb,FACU,FACU,2,Native,Herb,Seed bearing plants,Angiosperm,Dicot,NA,NA
0,NA,NA,NA,Hydrangeales,Montiaceae,ACNE2,Acer negundo,Acer,negundo,Box Elder,NA,7,GW dependent,0,0,-1,0,Perennial,weed,FACW,FACW*,2,Non-native,Shrub,Seed bearing plants,Angiosperm,Dicot,NA,NA
