parcel,segment_key,segment_beg,segment_end,length_m,n_possible_hits,intercept_spacing_m,source,in_2025_workbook,notes
BGP160E,1.1-1.2,1.1,1.2,102.2,204,0.5,gis_post_distance,True,Post-to-post distance; 0.5 m intercept spacing
BGP160E,1.2-1.3,1.2,1.3,100.12,200,0.5,gis_post_distance,True,Post-to-post distance; 0.5 m intercept spacing
BGP160E,1.3-1.4,1.3,1.4,99.6,199,0.5,gis_post_distance,True,Post-to-post distance; 0.5 m intercept spacing
BGP160E,1.4-1.5,1.4,1.5,101.22,202,0.5,gis_post_distance,True,Post-to-post distance; 0.5 m intercept spacing
BGP160E,1.5-1.6,1.5,1.6,99.93,200,0.5,gis_post_distance,True,Post-to-post distance; 0.5 m intercept spacing
BGP160E,1.6-1.7,1.6,1.7,100.68,201,0.5,gis_post_distance,True,Post-to-post distance; 0.5 m intercept spacing
BGP160E,1.7-1.0,1.7,1.0,102.14,204,0.5,gis_post_distance,True,Post-to-post distance; 0.5 m intercept spacing
BGP160E,2.1-2.2,2.1,2.2,102.19,204,0.5,gis_post_distance,True,Post-to-post distance; 0.5 m intercept spacing
BGP160E,2.2-2.3,2.2,2.3,99.1,198,0.5,gis_post_distance,True,Post-to-post distance; 0.5 m intercept spacing
BGP160E,2.3-2.4,2.3,2.4,100.55,201,0.5,gis_post_distance,True,Post-to-post distance; 0.5 m intercept spacing
BGP160E,2.4-2.5,2.4,2.5,100.95,202,0.5,gis_post_distance,True,Post-to-post distance; 0.5 m intercept spacing
BGP160E,2.5-2.6,2.5,2.6,99.79,200,0.5,gis_post_distance,True,Post-to-post distance; 0.5 m intercept spacing
BGP160E,2.6-2.7,2.6,2.7,100.24,200,0.5,gis_post_distance,True,Post-to-post distance; 0.5 m intercept spacing
BGP160E,2.7-2.0,2.7,2.0,101.0,202,0.5,gis_post_distance,True,Post-to-post distance; 0.5 m intercept spacing
BGP160E,3.1-3.2,3.1,3.2,100.56,201,0.5,gis_post_distance,True,Post-to-post distance; 0.5 m intercept spacing
BGP160E,3.2-3.3,3.2,3.3,99.68,199,0.5,gis_post_distance,True,Post-to-post distance; 0.5 m intercept spacing
BGP160E,3.3-3.4,3.3,3.4,100.12,200,0.5,gis_post_distance,True,Post-to-post distance; 0.5 m intercept spacing
BGP160E,3.4-3.5,3.4,3.5,100.69,201,0.5,gis_post_distance,True,Post-to-post distance; 0.5 m intercept spacing
BGP160E,3.5-3.6,3.5,3.6,101.12,202,0.5,gis_post_distance,True,Post-to-post distance; 0.5 m intercept spacing
BGP160E,3.6-3.7,3.6,3.7,97.99,196,0.5,gis_post_distance,True,Post-to-post distance; 0.5 m intercept spacing
BGP160E,3.7-3.0,3.7,3.0,100.36,201,0.5,gis_post_distance,True,Post-to-post distance; 0.5 m intercept spacing
BGP160E,4.1-4.2,4.1,4.2,101.57,203,0.5,gis_post_distance,True,Post-to-post distance; 0.5 m intercept spacing
BGP160E,4.2-4.3,4.2,4.3,98.68,197,0.5,gis_post_distance,True,Post-to-post distance; 0.5 m intercept spacing
BGP160E,4.3-4.4,4.3,4.4,101.34,203,0.5,gis_post_distance,True,Post-to-post distance; 0.5 m intercept spacing
BGP160E,4.4-4.5,4.4,4.5,100.13,200,0.5,gis_post_distance,True,Post-to-post distance; 0.5 m intercept spacing
BGP160E,4.5-4.6,4.5,4.6,99.69,199,0.5,gis_post_distance,True,Post-to-post distance; 0.5 m intercept spacing
BGP160E,4.6-4.7,4.6,4.7,100.25,200,0.5,gis_post_distance,True,Post-to-post distance; 0.5 m intercept spacing
BGP160E,4.7-4.0,4.7,4.0,99.92,200,0.5,gis_post_distance,True,Post-to-post distance; 0.5 m intercept spacing
BGP160E,5.1-5.2,5.1,5.2,101.15,202,0.5,gis_post_distance,True,Post-to-post distance; 0.5 m intercept spacing
BGP160E,5.2-5.3,5.2,5.3,101.49,203,0.5,gis_post_distance,True,Post-to-post distance; 0.5 m intercept spacing
BGP160E,5.3-5.4,5.3,5.4,99.48,199,0.5,gis_post_distance,True,Post-to-post distance; 0.5 m intercept spacing
BGP160E,5.4-5.5,5.4,5.5,99.48,199,0.5,gis_post_distance,True,Post-to-post distance; 0.5 m intercept spacing
BGP160E,5.5-5.6,5.5,5.6,100.44,201,0.5,gis_post_distance,True,Post-to-post distance; 0.5 m intercept spacing
