parcel,year,Cover,Grass,Transect,Species 3+,Overall
LAW090,2022,✅,✅,✅,✅,✅ All Targets Met
LAW090,2024,✅,❌,✅,✅,❌ Targets Not Met
LAW090,2025,✅,❌,✅,✅,❌ Targets Not Met
LAW094,2022,❌,❌,✅,✅,❌ Targets Not Met
LAW094,2024,❌,❌,✅,❌,❌ Targets Not Met
LAW094,2025,❌,❌,✅,❌,❌ Targets Not Met
LAW095,2022,❌,❌,✅,❌,❌ Targets Not Met
LAW095,2024,❌,❌,❌,✅,❌ Targets Not Met
LAW095,2025,❌,❌,✅,❌,❌ Targets Not Met
LAW118/129,2022,❌,❌,✅,❌,❌ Targets Not Met
LAW118/129,2023,✅,✅,✅,❌,❌ Targets Not Met
LAW118/129,2025,❌,❌,✅,❌,❌ Targets Not Met
