parcel,year,species,total_hits,avg_cover,avg_perennial_cover,avg_relative_cover,n_transects
LAW012,2024,ATTO,0,0,10.033333333333333,0,30
LAW012,2024,ERNA10,17,0.6,10.033333333333333,3.4,30
LAW012,2025,ATTO,0,0,9.6,0,40
LAW012,2025,ERNA10,0,0,9.6,0,40
LAW024,2024,ATTO,0,0,14.4,0,10
LAW024,2024,ERNA10,10,1,14.4,7.7,10
LAW024,2025,ATTO,0,0,16.3,0,10
LAW024,2025,ERNA10,10,1,16.3,7.9,10
LAW028,2022,ATTO,6,0.9,7,10.7,7
LAW028,2022,ERNA10,1,0.1,7,1.3,7
LAW028,2024,ATTO,0,0,13.4,0,20
LAW028,2024,ERNA10,0,0,13.4,0,20
LAW028,2025,ATTO,0,0,11.3,0,20
LAW028,2025,ERNA10,0,0,11.3,0,20
LAW029,2022,ATTO,72,3.6,11.85,23.5,20
LAW029,2022,ERNA10,19,0.9,11.85,5.4,20
LAW029,2023,ATTO,242,6,19.4,36.9,40
LAW029,2023,ERNA10,139,3.5,19.4,12.5,40
LAW029,2025,ATTO,96,6.4,20.266666666666666,26.4,15
LAW029,2025,ERNA10,70,4.7,20.266666666666666,21.6,15
LAW039,2023,ATTO,0,0,13.083333333333334,0,12
LAW039,2023,ERNA10,0,0,13.083333333333334,0,12
LAW039,2025,ATTO,24,3,15.5,13.2,8
LAW039,2025,ERNA10,4,0.5,15.5,4.5,8
LAW048,2022,ATTO,17,2.4,29.142857142857142,6.6,7
LAW048,2022,ERNA10,5,0.7,29.142857142857142,3.6,7
LAW048,2025,ATTO,5,0.6,18.25,3.8,8
LAW048,2025,ERNA10,18,2.2,18.25,10.3,8
LAW049,2022,ATTO,4,0.1,14.43333333333333,0.5,30
LAW049,2022,ERNA10,2,0.1,14.43333333333333,0.2,30
LAW049,2025,ATTO,0,0,8,0,9
LAW049,2025,ERNA10,0,0,8,0,9
LAW069,2023,ATTO,0,0,20.09090909090909,0,11
LAW069,2023,ERNA10,92,8.4,20.09090909090909,54,11
LAW069,2025,ATTO,0,0,24.25,0,8
LAW069,2025,ERNA10,78,9.8,24.25,46.1,8
LAW091,2022,ATTO,0,0,18,0,1
LAW091,2022,ERNA10,0,0,18,0,1
LAW091,2025,ATTO,0,0,23.75,0,8
LAW091,2025,ERNA10,0,0,23.75,0,8
LAW093,2022,ATTO,0,0,12.714285714285714,0,14
LAW093,2022,ERNA10,1,0.1,12.714285714285714,0.8,14
LAW093,2025,ATTO,0,0,23,0,5
LAW093,2025,ERNA10,0,0,23,0,5
LAW104,2023,ATTO,59,4.9,9.833333333333334,63,12
LAW104,2023,ERNA10,0,0,9.833333333333334,0,12
LAW104,2025,ATTO,1,0.2,3.4,2.5,5
LAW104,2025,ERNA10,0,0,3.4,0,5
LAW117,2022,ATTO,0,0,9.104166666666666,0,48
LAW117,2022,ERNA10,0,0,9.104166666666666,0,48
LAW117,2025,ATTO,0,0,14.066666666666666,0,30
LAW117,2025,ERNA10,0,0,14.066666666666666,0,30
LAW119,2023,ATTO,357,5.8,38.693548387096776,18.6,62
LAW119,2023,ERNA10,468,7.5,38.693548387096776,29.7,62
LAW119,2025,ATTO,79,5.3,33.06666666666667,18,15
LAW119,2025,ERNA10,166,11.1,33.06666666666667,38.5,15
LAW130,2024,ATTO,0,0,10.9,0,10
LAW130,2024,ERNA10,0,0,10.9,0,10
LAW130,2025,ATTO,0,0,14.5,0,10
LAW130,2025,ERNA10,0,0,14.5,0,10
LAW134,2024,ATTO,0,0,13.3,0,20
LAW134,2024,ERNA10,0,0,13.3,0,20
LAW134,2025,ATTO,0,0,16.55,0,20
LAW134,2025,ERNA10,0,0,16.55,0,20
PLC202,2023,ATTO,31,2.6,25.166666666666668,14,12
PLC202,2023,ERNA10,37,3.1,25.166666666666668,13.2,12
PLC202,2025,ATTO,0,0,18.2,0,5
PLC202,2025,ERNA10,45,9,18.2,47.7,5
PLC219,2022,ATTO,29,1.5,16,8.7,19
PLC219,2022,ERNA10,11,0.6,16,2.3,19
PLC219,2023,ATTO,35,1.2,17.03448275862069,5.2,29
PLC219,2023,ERNA10,27,0.9,17.03448275862069,4.4,29
PLC219,2025,ATTO,14,0.9,12.8,8.9,15
PLC219,2025,ERNA10,20,1.3,12.8,7.2,15
PLC227,2023,ATTO,7,0.2,15.3125,3.2,32
PLC227,2023,ERNA10,40,1.2,15.3125,6.7,32
PLC227,2025,ATTO,1,0.1,19.8,0.8,10
PLC227,2025,ERNA10,17,1.7,19.8,9.2,10
PLC230,2023,ATTO,187,4.7,16.55,39.7,40
PLC230,2023,ERNA10,12,0.3,16.55,1.4,40
PLC230,2025,ATTO,138,9.2,18.2,44.5,15
PLC230,2025,ERNA10,6,0.4,18.2,2.6,15
