parcel,year,n_transects,total_hits,avg_cover,reference_group
LAW012,2024,30,301,4.5606060606060606,LAW90/94/95
LAW012,2025,40,384,4.042105263157895,LAW90/94/95
LAW024,2024,10,144,5.142857142857143,LAW90/94/95
LAW024,2025,10,163,6.269230769230769,LAW90/94/95
LAW028,2022,7,49,4.083333333333333,LAW90/94/95
LAW028,2024,20,268,4.466666666666666,LAW90/94/95
LAW028,2025,20,226,4.109090909090909,LAW90/94/95
LAW029,2022,20,237,5.1521739130434785,LAW118/129
LAW029,2023,40,776,7.119266055045872,LAW118/129
LAW029,2025,15,304,2.533333333333334,LAW118/129
LAW039,2023,12,157,5.413793103448276,LAW118/129
LAW039,2025,8,124,2.214285714285714,LAW118/129
LAW048,2022,7,204,10.736842105263158,LAW90/94/95
LAW048,2025,8,146,5.84,LAW90/94/95
LAW049,2022,30,433,8.326923076923075,LAW90/94/95
LAW049,2025,9,72,4.5,LAW90/94/95
LAW069,2023,11,221,5.525000000000001,LAW118/129
LAW069,2025,8,194,2.425,LAW118/129
LAW091,2022,1,18,4.5,LAW90/94/95
LAW091,2025,8,190,3.9583333333333335,LAW90/94/95
LAW093,2022,14,178,3.869565217391304,LAW90/94/95
LAW093,2025,5,115,5.476190476190476,LAW90/94/95
LAW104,2023,12,118,5.9,LAW118/129
LAW104,2025,5,17,0.8500000000000002,LAW118/129
LAW117,2022,48,437,3.735042735042735,LAW90/94/95
LAW117,2025,30,422,5.341772151898734,LAW90/94/95
LAW119,2023,62,2399,7.473520249221183,LAW118/129
LAW119,2025,15,496,2.0666666666666664,LAW118/129
LAW130,2024,10,109,9.083333333333334,LAW90/94/95
LAW130,2025,10,145,10.357142857142858,LAW90/94/95
LAW134,2024,20,266,6.82051282051282,LAW90/94/95
LAW134,2025,20,331,6.12962962962963,LAW90/94/95
PLC202,2023,12,302,5.807692307692308,LAW118/129
PLC202,2025,5,91,2.6,LAW118/129
PLC219,2022,19,304,5.241379310344828,LAW118/129
PLC219,2023,29,494,5.550561797752809,LAW118/129
PLC219,2025,15,192,0.914285714285714,LAW118/129
PLC227,2023,32,490,5.50561797752809,LAW118/129
PLC227,2025,10,198,1.7999999999999998,LAW118/129
PLC230,2023,40,662,8.379746835443038,LAW118/129
PLC230,2025,15,273,1.8199999999999998,LAW118/129
