parcel,transect,species,hits,bearing,year
LAW118,6,ERNA10,8,40,2025
LAW118,8,ERNA10,16,120,2025
LAW118,10,ERNA10,0,40,2025
LAW118,11,ERNA10,0,40,2025
LAW118,13,ERNA10,1,40,2025
LAW118,14,ERNA10,0,320,2025
LAW129,1,ERNA10,38,120,2025
LAW129,2,ERNA10,82,40,2025
LAW129,3,ERNA10,45,220,2025
LAW129,5,ERNA10,72,40,2025
LAW129,6,ERNA10,6,320,2025
LAW129,7,ERNA10,4,120,2025
LAW129,8,ERNA10,54,40,2025
LAW129,10,ERNA10,4,120,2025
LAW129,12,ERNA10,19,320,2025
LAW129,13,ERNA10,62,120,2025
LAW129,14,ERNA10,95,40,2025
LAW129,15,ERNA10,58,220,2025
LAW129,17,ERNA10,70,40,2025
LAW129,21,ERNA10,1,217,2025
LAW118,6,ATPO,3,40,2025
LAW118,8,ATPO,0,120,2025
LAW118,10,ATPO,0,40,2025
LAW118,11,ATPO,34,40,2025
LAW118,13,ATPO,18,40,2025
LAW118,14,ATPO,41,320,2025
LAW129,1,ATPO,0,120,2025
LAW129,2,ATPO,0,40,2025
LAW129,3,ATPO,10,220,2025
LAW129,5,ATPO,1,40,2025
LAW129,6,ATPO,5,320,2025
LAW129,7,ATPO,6,120,2025
LAW129,8,ATPO,0,40,2025
LAW129,10,ATPO,0,120,2025
LAW129,12,ATPO,17,320,2025
LAW129,13,ATPO,0,120,2025
LAW129,14,ATPO,0,40,2025
LAW129,15,ATPO,0,220,2025
LAW129,17,ATPO,0,40,2025
LAW129,21,ATPO,4,217,2025
LAW118,6,SATR12,2,40,2025
LAW118,8,SATR12,10,120,2025
LAW118,10,SATR12,6,40,2025
LAW118,11,SATR12,2,40,2025
LAW118,13,SATR12,0,40,2025
LAW118,14,SATR12,0,320,2025
LAW129,1,SATR12,3,120,2025
LAW129,2,SATR12,0,40,2025
LAW129,3,SATR12,2,220,2025
LAW129,5,SATR12,2,40,2025
LAW129,6,SATR12,2,320,2025
LAW129,7,SATR12,24,120,2025
LAW129,8,SATR12,0,40,2025
LAW129,10,SATR12,1,120,2025
LAW129,12,SATR12,14,320,2025
LAW129,13,SATR12,19,120,2025
LAW129,14,SATR12,0,40,2025
LAW129,15,SATR12,0,220,2025
LAW129,17,SATR12,0,40,2025
LAW129,21,SATR12,29,217,2025
LAW118,6,ATCA2,0,40,2025
LAW118,8,ATCA2,5,120,2025
LAW118,10,ATCA2,0,40,2025
LAW118,11,ATCA2,1,40,2025
LAW118,13,ATCA2,0,40,2025
LAW118,14,ATCA2,0,320,2025
LAW129,1,ATCA2,10,120,2025
LAW129,2,ATCA2,0,40,2025
LAW129,3,ATCA2,1,220,2025
LAW129,5,ATCA2,8,40,2025
LAW129,6,ATCA2,10,320,2025
LAW129,7,ATCA2,8,120,2025
LAW129,8,ATCA2,19,40,2025
LAW129,10,ATCA2,14,120,2025
LAW129,12,ATCA2,0,320,2025
LAW129,13,ATCA2,0,120,2025
LAW129,14,ATCA2,0,40,2025
LAW129,15,ATCA2,0,220,2025
LAW129,17,ATCA2,0,40,2025
LAW129,21,ATCA2,1,217,2025
LAW118,6,COAR4,0,40,2025
LAW118,8,COAR4,0,120,2025
LAW118,10,COAR4,0,40,2025
LAW118,11,COAR4,0,40,2025
LAW118,13,COAR4,0,40,2025
LAW118,14,COAR4,0,320,2025
LAW129,1,COAR4,0,120,2025
LAW129,2,COAR4,0,40,2025
LAW129,3,COAR4,0,220,2025
LAW129,5,COAR4,0,40,2025
LAW129,6,COAR4,0,320,2025
LAW129,7,COAR4,1,120,2025
LAW129,8,COAR4,0,40,2025
LAW129,10,COAR4,0,120,2025
LAW129,12,COAR4,10,320,2025
LAW129,13,COAR4,1,120,2025
LAW129,14,COAR4,0,40,2025
LAW129,15,COAR4,0,220,2025
LAW129,17,COAR4,0,40,2025
LAW129,21,COAR4,0,217,2025
LAW118,6,KRLA2,0,40,2025
LAW118,8,KRLA2,0,120,2025
LAW118,10,KRLA2,0,40,2025
LAW118,11,KRLA2,0,40,2025
LAW118,13,KRLA2,0,40,2025
LAW118,14,KRLA2,0,320,2025
LAW129,1,KRLA2,0,120,2025
LAW129,2,KRLA2,0,40,2025
LAW129,3,KRLA2,0,220,2025
LAW129,5,KRLA2,0,40,2025
LAW129,6,KRLA2,0,320,2025
LAW129,7,KRLA2,4,120,2025
LAW129,8,KRLA2,0,40,2025
LAW129,10,KRLA2,0,120,2025
LAW129,12,KRLA2,0,320,2025
LAW129,13,KRLA2,0,120,2025
LAW129,14,KRLA2,0,40,2025
LAW129,15,KRLA2,0,220,2025
LAW129,17,KRLA2,0,40,2025
LAW129,21,KRLA2,0,217,2025
LAW118,6,IVAX,0,40,2025
LAW118,8,IVAX,0,120,2025
LAW118,10,IVAX,0,40,2025
LAW118,11,IVAX,0,40,2025
LAW118,13,IVAX,0,40,2025
LAW118,14,IVAX,0,320,2025
LAW129,1,IVAX,0,120,2025
LAW129,2,IVAX,0,40,2025
LAW129,3,IVAX,2,220,2025
LAW129,5,IVAX,0,40,2025
LAW129,6,IVAX,0,320,2025
LAW129,7,IVAX,0,120,2025
LAW129,8,IVAX,0,40,2025
LAW129,10,IVAX,0,120,2025
LAW129,12,IVAX,0,320,2025
LAW129,13,IVAX,0,120,2025
LAW129,14,IVAX,0,40,2025
LAW129,15,IVAX,0,220,2025
LAW129,17,IVAX,0,40,2025
LAW129,21,IVAX,0,217,2025
