parcel,transect,species,hits,year,CommonName,Lifecycle,Lifeform,percent_cover
LAW117,9,PSARM,7,2022,"indigo bush, Northern Mojave",Perennial,Shrub,3.5
LAW117,9,TEGL,3,2022,"horsebrush, Little",Perennial,Shrub,1.5
LAW117,9,KRLA2,2,2022,Winterfat,Perennial,Shrub,1
LAW117,40,PSARM,1,2022,"indigo bush, Northern Mojave",Perennial,Shrub,0.5
LAW117,40,TEGL,1,2022,"horsebrush, Little",Perennial,Shrub,0.5
LAW117,40,KRLA2,3,2022,Winterfat,Perennial,Shrub,1.5
LAW117,40,ATCO,3,2022,Shadscale,Perennial,Shrub,1.5
LAW117,40,TEAX,1,2022,"cotton-thorn, straight-spined",Perennial,Shrub,0.5
LAW117,34,PSARM,6,2022,"indigo bush, Northern Mojave",Perennial,Shrub,3
LAW117,34,TEGL,2,2022,"horsebrush, Little",Perennial,Shrub,1
LAW117,34,ATCO,1,2022,Shadscale,Perennial,Shrub,0.5
LAW117,1,PSARM,6,2022,"indigo bush, Northern Mojave",Perennial,Shrub,3
LAW117,1,KRLA2,2,2022,Winterfat,Perennial,Shrub,1
LAW117,17,PSARM,5,2022,"indigo bush, Northern Mojave",Perennial,Shrub,2.5
LAW117,17,KRLA2,1,2022,Winterfat,Perennial,Shrub,0.5
LAW117,15,PSARM,7,2022,"indigo bush, Northern Mojave",Perennial,Shrub,3.5
LAW117,15,KRLA2,2,2022,Winterfat,Perennial,Shrub,1
LAW117,45,PSARM,3,2022,"indigo bush, Northern Mojave",Perennial,Shrub,1.5
LAW117,12,PSARM,7,2022,"indigo bush, Northern Mojave",Perennial,Shrub,3.5
LAW117,12,KRLA2,1,2022,Winterfat,Perennial,Shrub,0.5
LAW117,12,ATCO,2,2022,Shadscale,Perennial,Shrub,1
LAW117,25,PSARM,6,2022,"indigo bush, Northern Mojave",Perennial,Shrub,3
LAW117,25,KRLA2,5,2022,Winterfat,Perennial,Shrub,2.5
LAW117,25,ATCO,3,2022,Shadscale,Perennial,Shrub,1.5
LAW117,25,TEGL,1,2022,"horsebrush, Little",Perennial,Shrub,0.5
LAW117,43,PSARM,3,2022,"indigo bush, Northern Mojave",Perennial,Shrub,1.5
LAW117,47,PSARM,5,2022,"indigo bush, Northern Mojave",Perennial,Shrub,2.5
