Parcel,Year,Perennial Cover (%),Number of Transects,95% CI Lower,95% CI Upper,Grass Present,Tree Present,Shrub Present,Herb Present
LAW090,2022,11.9,19,8.7,15.1,0.2368421052631579,0.13157894736842105,11.5,0.07894736842105261
LAW090,2024,9.6,20,6.8,12.5,0,0.22499999999999998,9.4,0
LAW090,2025,10.1,31,7.7,12.6,0.016129032258064526,0,10.096774193548386,0.016129032258064523
LAW094,2022,8.5,20,7.2,9.8,0.7250000000000001,0,7.8,0
LAW094,2024,8.4,20,6.2,10.7,0,0,8.425,0
LAW094,2025,7.8,21,5.9,9.6,0.2619047619047619,0,7.523809523809524,0
LAW095,2022,8.8,20,6.1,11.6,1.2,0,7.625,0
LAW095,2024,8.9,20,5.3,12.5,0,0,8.925,0
LAW095,2025,5.7,20,3.7,7.6,0.075,0,5.55,0
LAW129_118,2022,6.7,16,4.1,9.2,0.09375,0,6.15625,0.40625
LAW129_118,2023,15.3,15,10.1,20.6,0.16666666666666669,0,14.666666666666668,0.4666666666666666
LAW129_118,2025,5.8,20,3,8.7,0,0,5.5,0.35
