source_sheet,parcel,transect_number,combined_cover
LAW029,029,% Comp,96.62105263000001
LAW029,029,% Cover,66.933333334
LAW029,029,10a,1
LAW029,029,11e,6
LAW029,029,12b,0
LAW029,029,13a,0
LAW029,029,14a,0
LAW029,029,15c,3
LAW029,029,2d,0
LAW029,029,3e,6
LAW029,029,4a,3
LAW029,029,5e,0
LAW029,029,6a,13
LAW029,029,7a,2
LAW029,029,8d,3
LAW029,029,9a,6
LAW029,029,SUM,289
LAW029,029,NA,133.789473686
LAW039,039,% Comp,35.232758625
LAW039,039,% Cover,12.25
LAW039,039,2a,2
LAW039,039,3a,0
LAW039,039,4d,4
LAW039,039,5d,0
LAW039,039,6d,0
LAW039,039,7a,0
LAW039,039,8a,0
LAW039,039,SUM,50
LAW039,039,NA,26.137931035
LAW069,069,% Comp,73.04336735000001
LAW069,069,% Cover,34.375
LAW069,069,2a,0
LAW069,069,3a,6
LAW069,069,4e,10
LAW069,069,5a,1
LAW069,069,6a,0
LAW069,069,7a,0
LAW069,069,8a,0
LAW069,069,SUM,139
LAW069,069,NA,69.673469388
LAW104,104,% Comp,6.896551724
LAW104,104,% Cover,0.4
LAW104,104,2a,0
LAW104,104,3b,0
LAW104,104,4a,0
LAW104,104,5a,0
LAW104,104,SUM,2
LAW104,104,NA,1
LAW119,119,% Comp,80.80000000000001
LAW119,119,% Cover,153.06666667000002
LAW119,119,10c,5
LAW119,119,11a,15
LAW119,119,12a,0
LAW119,119,13a,9
LAW119,119,14a,20
LAW119,119,15A,17
LAW119,119,2a,13
LAW119,119,3A,0
LAW119,119,4a,0
LAW119,119,5a,10
LAW119,119,6d,17
LAW119,119,7d,1
LAW119,119,8a,11
LAW119,119,9a,2
LAW119,119,SUM,370
LAW119,119,NA,141.8
PLC202,202,% Comp,89.77204301
PLC202,202,% Cover,24.4
PLC202,202,2a,3
PLC202,202,3a,1
PLC202,202,4a,2
PLC202,202,5a,2
PLC202,202,SUM,82
PLC202,202,NA,45.602150538000004
PLC219,219,% Comp,28.9126079433
PLC219,219,% Cover,17.5999999996
PLC219,219,10b,4
PLC219,219,11d,1
PLC219,219,12c,0
PLC219,219,13c,0
PLC219,219,14a,0
PLC219,219,15c,0
PLC219,219,2d,1
PLC219,219,3A,0
PLC219,219,4c,0
PLC219,219,5a,0
PLC219,219,6a,0
PLC219,219,7e,2
PLC219,219,8a,4
PLC219,219,9e,1
PLC219,219,SUM,55
PLC219,219,NA,27.25388601
PLC227,227,% Comp,13.9888888886
PLC227,227,% Cover,4.500000000000001
PLC227,227,10a,0
PLC227,227,2a,0
PLC227,227,3a,0
PLC227,227,4a,0
PLC227,227,5a,0
PLC227,227,6a,0
PLC227,227,7a,0
PLC227,227,8a,0
PLC227,227,9a,1
PLC227,227,SUM,35
PLC227,227,NA,17.3968253968
PLC230,230,% Comp,70.9222222143
PLC230,230,% Cover,59.333333333700004
PLC230,230,10a,0
PLC230,230,11a,17
PLC230,230,12c,5
PLC230,230,13c,1
PLC230,230,14a,1
PLC230,230,15d,0
PLC230,230,2a,5
PLC230,230,3e,0
PLC230,230,4a,4
PLC230,230,5a,7
PLC230,230,6a,0
PLC230,230,7a,0
PLC230,230,8a,0
PLC230,230,9a,3
PLC230,230,SUM,245
PLC230,230,NA,112.9444444456
