Parcel,Year,Transect,combined_hits,combined_cover,combined_relative
LAW012,2025,1,0,0,0
LAW012,2025,2,0,0,0
LAW012,2025,3,0,0,0
LAW012,2025,4,0,0,0
LAW012,2025,5,0,0,0
LAW012,2025,6,0,0,0
LAW012,2025,7,0,0,0
LAW012,2025,8,0,0,0
LAW012,2025,9,0,0,0
LAW012,2025,10,0,0,0
LAW012,2025,11,0,0,0
LAW012,2025,12,0,0,0
LAW012,2025,13,0,0,0
LAW012,2025,14,0,0,0
LAW012,2025,15,0,0,0
LAW012,2025,16,0,0,0
LAW012,2025,17,0,0,0
LAW012,2025,18,0,0,0
LAW012,2025,19,0,0,0
LAW012,2025,20,0,0,0
LAW012,2025,21,0,0,0
LAW012,2025,22,0,0,0
LAW012,2025,23,0,0,0
LAW012,2025,24,0,0,0
LAW012,2025,25,0,0,0
LAW012,2025,26,0,0,0
LAW012,2025,27,0,0,0
LAW012,2025,28,0,0,0
LAW012,2025,29,0,0,0
LAW012,2025,30,0,0,0
LAW012,2025,31,0,0,0
LAW012,2025,32,0,0,0
LAW012,2025,33,0,0,0
LAW012,2025,34,0,0,0
LAW012,2025,35,0,0,0
LAW012,2025,36,0,0,0
LAW012,2025,37,0,0,0
LAW012,2025,38,0,0,0
LAW012,2025,39,0,0,0
LAW012,2025,40,0,0,0
LAW024,2025,1,0,0,0
LAW024,2025,2,0,0,0
LAW024,2025,3,0,0,0
LAW024,2025,4,0,0,0
LAW024,2025,5,0,0,0
LAW024,2025,6,0,0,0
LAW024,2025,7,0,0,0
LAW024,2025,8,1,1,3.8461538461538463
LAW024,2025,9,9,9,75
LAW024,2025,10,0,0,0
LAW028,2025,1,0,0,0
LAW028,2025,2,0,0,0
LAW028,2025,3,0,0,0
LAW028,2025,4,0,0,0
LAW028,2025,5,0,0,0
LAW028,2025,6,0,0,0
LAW028,2025,7,0,0,0
LAW028,2025,8,0,0,0
LAW028,2025,9,0,0,0
LAW028,2025,10,0,0,0
LAW028,2025,11,0,0,0
LAW028,2025,12,0,0,0
LAW028,2025,13,0,0,0
LAW028,2025,14,0,0,0
LAW028,2025,15,0,0,0
LAW028,2025,16,0,0,0
LAW028,2025,17,0,0,0
LAW028,2025,18,0,0,0
LAW028,2025,19,0,0,0
LAW028,2025,20,0,0,0
LAW048,2025,1,2,2,20
LAW048,2025,2,0,0,0
LAW048,2025,3,2,2,20
LAW048,2025,4,11,11,37.93103448275862
LAW048,2025,5,8,8,34.78260869565217
LAW048,2025,6,0,0,0
LAW048,2025,7,0,0,0
LAW048,2025,8,0,0,0
LAW049,2025,1,0,0,0
LAW049,2025,2,0,0,0
LAW049,2025,3,0,0,0
LAW049,2025,4,0,0,0
LAW049,2025,5,0,0,0
LAW049,2025,6,0,0,0
LAW049,2025,7,0,0,0
LAW049,2025,8,0,0,0
LAW049,2025,9,0,0,0
LAW049,2025,10,0,0,0
LAW091,2025,1,0,0,0
LAW091,2025,2,0,0,0
LAW091,2025,3,0,0,0
LAW091,2025,4,0,0,0
LAW091,2025,5,0,0,0
LAW091,2025,6,0,0,0
LAW091,2025,7,0,0,0
LAW091,2025,8,0,0,0
LAW093,2025,1,0,0,0
LAW093,2025,2,0,0,0
LAW093,2025,3,0,0,0
LAW093,2025,4,0,0,0
LAW093,2025,5,0,0,0
LAW117,2025,1,0,0,0
LAW117,2025,2,0,0,0
LAW117,2025,3,0,0,0
LAW117,2025,4,0,0,0
LAW117,2025,5,0,0,0
LAW117,2025,6,0,0,0
LAW117,2025,7,0,0,0
LAW117,2025,8,0,0,0
LAW117,2025,9,0,0,0
LAW117,2025,10,0,0,0
LAW117,2025,11,0,0,0
LAW117,2025,12,0,0,0
LAW117,2025,13,0,0,0
LAW117,2025,14,0,0,0
LAW117,2025,15,0,0,0
LAW117,2025,16,0,0,0
LAW117,2025,17,0,0,0
LAW117,2025,18,0,0,0
LAW117,2025,19,0,0,0
LAW117,2025,20,0,0,0
LAW117,2025,21,0,0,0
LAW117,2025,22,0,0,0
LAW117,2025,23,0,0,0
LAW117,2025,24,0,0,0
LAW117,2025,25,0,0,0
LAW117,2025,26,0,0,0
LAW117,2025,27,0,0,0
LAW117,2025,28,0,0,0
LAW117,2025,29,0,0,0
LAW117,2025,30,0,0,0
LAW130,2025,1,0,0,0
LAW130,2025,2,0,0,0
LAW130,2025,3,0,0,0
LAW130,2025,4,0,0,0
LAW130,2025,5,0,0,0
LAW130,2025,6,0,0,0
LAW130,2025,7,0,0,0
LAW130,2025,8,0,0,0
LAW130,2025,9,0,0,0
LAW130,2025,10,0,0,0
LAW134,2025,1,0,0,0
LAW134,2025,2,0,0,0
LAW134,2025,3,0,0,0
LAW134,2025,4,0,0,0
LAW134,2025,5,0,0,0
LAW134,2025,6,0,0,0
LAW134,2025,7,0,0,0
LAW134,2025,8,0,0,0
LAW134,2025,9,0,0,0
LAW134,2025,10,0,0,0
LAW134,2025,11,0,0,0
LAW134,2025,12,0,0,0
LAW134,2025,13,0,0,0
LAW134,2025,14,0,0,0
LAW134,2025,15,0,0,0
LAW134,2025,16,0,0,0
LAW134,2025,17,0,0,0
LAW134,2025,18,0,0,0
LAW134,2025,19,0,0,0
LAW134,2025,20,0,0,0
