parcel,year,species,CommonName,mean_cover,transects_hit,geometry
LAW090,2022,ACHY,"ricegrass, Indian",0.05,1,"c(382193, 4142545)"
LAW090,2024,ACHY,"ricegrass, Indian",0,1,"c(381997, 4142268)"
LAW090,2024,ACSP12,"needlegrass, Desert",0,1,"c(381997, 4142268)"
LAW090,2024,AMDU2,Burrow-bush,0.25,2,"c(382332, 382371, 4142501, 4142820)"
LAW090,2022,ARTR2,"sagebrush, Big",0.1,1,"c(382531, 4142391)"
LAW090,2024,ARTRT,"sagebrush, Basin big",0,1,"c(381997, 4142268)"
LAW090,2024,ASFA,"milkweed, Narrow-leaf",0,1,"c(381997, 4142268)"
LAW090,2022,ATCA2,"saltbush, Fourwing",4.175,18,"c(381997, 382026, 382067, 382092, 382160, 382193, 382229, 382273, 382308, 382332, 382371, 382399, 382424, 382462, 382497, 382531, 382540, 382565, 4142268, 4142492, 4142808, 4142667, 4142296, 4142545, 4142724, 4142617, 4142285, 4142501, 4142820, 4142741, 4142663, 4142402, 4142320, 4142391, 4142635, 4142562)"
LAW090,2024,ATCA2,"saltbush, Fourwing",3.025,15,"c(382026, 382067, 382092, 382193, 382229, 382273, 382308, 382332, 382371, 382399, 382424, 382462, 382497, 382531, 382540, 4142492, 4142808, 4142667, 4142545, 4142724, 4142617, 4142285, 4142501, 4142820, 4142741, 4142663, 4142402, 4142320, 4142391, 4142635)"
LAW090,2022,ATPO,"saltbush, Allscale",6.15,18,"c(381997, 382026, 382067, 382160, 382193, 382229, 382240, 382273, 382308, 382332, 382371, 382399, 382424, 382462, 382497, 382531, 382540, 382565, 4142268, 4142492, 4142808, 4142296, 4142545, 4142724, 4142344, 4142617, 4142285, 4142501, 4142820, 4142741, 4142663, 4142402, 4142320, 4142391, 4142635, 4142562)"
LAW090,2024,ATPO,"saltbush, Allscale",5.725,16,"c(381997, 382026, 382129, 382160, 382229, 382240, 382308, 382332, 382371, 382399, 382424, 382462, 382497, 382531, 382540, 382565, 4142268, 4142492, 4142394, 4142296, 4142724, 4142344, 4142285, 4142501, 4142820, 4142741, 4142663, 4142402, 4142320, 4142391, 4142635, 4142562)"
LAW090,2022,ATTO,"saltbush, Nevada/Torrey's",2.3,8,"c(381997, 382026, 382129, 382160, 382193, 382240, 382424, 382540, 4142268, 4142492, 4142394, 4142296, 4142545, 4142344, 4142663, 4142635)"
LAW090,2024,ATTO,"saltbush, Nevada/Torrey's",2.775,10,"c(381997, 382026, 382067, 382129, 382160, 382193, 382240, 382332, 382540, 382565, 4142268, 4142492, 4142808, 4142394, 4142296, 4142545, 4142344, 4142501, 4142635, 4142562)"
LAW090,2022,BAHY,"bassia, Fivehook",0.05,1,"c(382026, 4142492)"
LAW090,2024,BAHY,"bassia, Fivehook",0.05,1,"c(382160, 4142296)"
LAW090,2022,ERNA10,"rabbitbrush, Common",2.075,9,"c(382026, 382067, 382160, 382193, 382240, 382273, 382308, 382462, 382531, 4142492, 4142808, 4142296, 4142545, 4142344, 4142617, 4142285, 4142402, 4142391)"
LAW090,2024,ERNA10,"rabbitbrush, Common",0.9,8,"c(382067, 382160, 382273, 382308, 382371, 382462, 382497, 382531, 4142808, 4142296, 4142617, 4142285, 4142820, 4142402, 4142320, 4142391)"
LAW090,2024,GRSP,"hop-sage, Spiny",0,1,"c(381997, 4142268)"
LAW090,2022,HECU3,"heliotrope, Salt",0.075,2,"c(382026, 382273, 4142492, 4142617)"
LAW090,2022,KRLA2,Winterfat,0.25,4,"c(382240, 382308, 382371, 382565, 4142344, 4142285, 4142820, 4142562)"
LAW090,2024,KRLA2,Winterfat,0.225,3,"c(382092, 382160, 382371, 4142667, 4142296, 4142820)"
LAW090,2022,MACA17,"aster, Shrubby alkali",0.025,1,"c(382540, 4142635)"
LAW090,2022,POFR2,"cottonwood, Fremont's /Alamo",0.125,1,"c(381997, 4142268)"
LAW090,2024,POFR2,"cottonwood, Fremont's /Alamo",0.225,1,"c(381997, 4142268)"
LAW090,2022,PSARM,"indigo bush, Northern Mojave",0.025,1,"c(382308, 4142285)"
LAW090,2022,SATR12,"Tumbleweed /thistle, Russian",4.125,19,"c(381997, 382026, 382067, 382092, 382129, 382160, 382193, 382229, 382240, 382273, 382308, 382332, 382371, 382424, 382462, 382497, 382531, 382540, 382565, 4142268, 4142492, 4142808, 4142667, 4142394, 4142296, 4142545, 4142724, 4142344, 4142617, 4142285, 4142501, 4142820, 4142663, 4142402, 4142320, 4142391, 4142635, 4142562)"
LAW090,2024,SATR12,"Tumbleweed /thistle, Russian",0.375,4,"c(382160, 382229, 382371, 382540, 4142296, 4142724, 4142820, 4142635)"
LAW090,2022,SAVE4,Greasewood,0.2,2,"c(381997, 382160, 4142268, 4142296)"
LAW090,2024,SAVE4,Greasewood,0.175,1,"c(381997, 4142268)"
LAW090,2022,SPAI,"sacaton, Alkali",0.175,2,"c(381997, 382399, 4142268, 4142741)"
LAW094,2024,ACHY,"ricegrass, Indian",0,1,"c(382289, 4141814)"
LAW094,2024,ACSP12,"needlegrass, Desert",0,1,"c(382289, 4141814)"
LAW094,2022,ATCA2,"saltbush, Fourwing",4.525,18,"c(382289, 382305, 382325, 382339, 382349, 382385, 382428, 382432, 382437, 382478, 382496, 382515, 382561, 382562, 382565, 382605, 382618, 382643, 4141814, 4141964, 4142141, 4142096, 4142004, 4141846, 4141892, 4141963, 4142061, 4142147, 4142088, 4141887, 4142049, 4141822, 4141945, 4142133, 4142045, 4141900)"
LAW094,2024,ATCA2,"saltbush, Fourwing",3.2,17,"c(382289, 382305, 382325, 382339, 382349, 382385, 382428, 382478, 382488, 382496, 382515, 382561, 382562, 382565, 382605, 382618, 382643, 4141814, 4141964, 4142141, 4142096, 4142004, 4141846, 4141892, 4142147, 4141971, 4142088, 4141887, 4142049, 4141822, 4141945, 4142133, 4142045, 4141900)"
LAW094,2024,ATCO,Shadscale,0,1,"c(382289, 4141814)"
LAW094,2022,ATPO,"saltbush, Allscale",2.625,14,"c(382289, 382305, 382325, 382339, 382349, 382369, 382428, 382432, 382437, 382488, 382496, 382561, 382562, 382643, 4141814, 4141964, 4142141, 4142096, 4142004, 4141926, 4141892, 4141963, 4142061, 4141971, 4142088, 4142049, 4141822, 4141900)"
LAW094,2024,ATPO,"saltbush, Allscale",4.975,16,"c(382289, 382305, 382325, 382339, 382349, 382369, 382428, 382432, 382437, 382478, 382488, 382496, 382561, 382562, 382605, 382618, 4141814, 4141964, 4142141, 4142096, 4142004, 4141926, 4141892, 4141963, 4142061, 4142147, 4141971, 4142088, 4142049, 4141822, 4142133, 4142045)"
LAW094,2022,ATTO,"saltbush, Nevada/Torrey's",0.525,3,"c(382478, 382605, 382643, 4142147, 4142133, 4141900)"
LAW094,2024,ATTO,"saltbush, Nevada/Torrey's",0.65,4,"c(382369, 382428, 382605, 382643, 4141926, 4141892, 4142133, 4141900)"
LAW094,2022,DISP,Saltgrass,0.05,2,"c(382428, 382565, 4141892, 4141945)"
LAW094,2024,ENAC,"brittlebush, Acton's",0.05,3,"c(382289, 382369, 382488, 4141814, 4141926, 4141971)"
LAW094,2022,ENFA,NA,0.175,2,"c(382369, 382605, 4141926, 4142133)"
LAW094,2024,ERFA2,"buckwheat, California",0,1,"c(382289, 4141814)"
LAW094,2022,ERNA10,"rabbitbrush, Common",1.6,9,"c(382369, 382428, 382432, 382488, 382515, 382562, 382565, 382605, 382618, 4141926, 4141892, 4141963, 4141971, 4141887, 4141822, 4141945, 4142133, 4142045)"
LAW094,2024,ERNA10,"rabbitbrush, Common",0.625,8,"c(382428, 382432, 382488, 382515, 382562, 382565, 382605, 382618, 4141892, 4141963, 4141971, 4141887, 4141822, 4141945, 4142133, 4142045)"
LAW094,2024,ERTE24,NA,0,1,"c(382289, 4141814)"
LAW094,2022,KRLA2,Winterfat,0.4,5,"c(382289, 382385, 382488, 382515, 382562, 4141814, 4141846, 4141971, 4141887, 4141822)"
