Parcel,Year,Transect,Species,Hits,Cover (%)
LAW129,2022,1,ERNA10,22,11
LAW129,2022,1,ATCA2,8,4
LAW129,2022,1,SATR12,3,1.5
LAW129,2022,1,IVAX,1,0.5
LAW129,2022,2,ERNA10,36,18
LAW129,2022,3,SATR12,3,1.5
LAW129,2022,3,ATPO,9,4.5
LAW129,2022,3,ERNA10,37,18.5
LAW129,2022,3,ATCA2,1,0.5
LAW129,2022,4,ERNA10,18,9
LAW129,2022,4,SATR12,10,5
LAW129,2022,4,COCA5,5,2.5
LAW129,2022,4,ATPO,4,2
LAW129,2022,4,COAR4,4,2
LAW129,2022,4,MEOF,1,0.5
LAW129,2022,4,SPAI,2,1
LAW129,2022,5,ERNA10,13,6.5
LAW129,2022,5,ATCA2,12,6
LAW129,2022,5,SATR12,3,1.5
LAW129,2022,6,SATR12,3,1.5
LAW129,2022,6,ERNA10,21,10.5
LAW129,2022,6,ATCA2,15,7.5
LAW129,2022,6,ATPO,5,2.5
LAW129,2022,7,ERNA10,1,0.5
LAW129,2022,7,ATCA2,9,4.5
LAW129,2022,7,SATR12,11,5.5
LAW129,2022,7,COCA5,1,0.5
LAW129,2022,7,ATPO,11,5.5
LAW129,2022,7,COAR4,1,0.5
LAW129,2022,7,KRLA2,3,1.5
LAW129,2022,8,ATCA2,11,5.5
LAW129,2022,8,ERNA10,17,8.5
LAW129,2022,8,ATPO,3,1.5
LAW129,2022,9,ATCA2,13,6.5
LAW129,2022,9,ERNA10,22,11
LAW129,2022,9,ATPO,7,3.5
LAW129,2022,9,DISP,1,0.5
LAW129,2022,9,SATR12,1,0.5
LAW129,2022,10,ATPO,3,1.5
LAW129,2022,10,ATCA2,29,14.5
LAW129,2022,10,ERNA10,1,0.5
LAW129,2022,11,COAR4,3,1.5
LAW129,2022,11,ERNA10,22,11
LAW129,2022,11,ATPO,6,3
LAW129,2022,11,CLLU2,2,1
LAW129,2022,12,ATCA2,2,1
LAW129,2022,12,ERNA10,3,1.5
LAW129,2022,12,ATPO,26,13
LAW129,2022,12,SATR12,11,5.5
LAW129,2022,12,COAR4,1,0.5
LAW129,2022,13,ERNA10,39,19.5
LAW129,2022,13,SATR12,1,0.5
LAW129,2022,14,ERNA10,59,29.5
LAW129,2022,14,IVAX,2,1
LAW129,2022,15,ERNA10,68,34
LAW129,2022,15,KRLA2,1,0.5
LAW129,2022,16,SATR12,10,5
LAW129,2022,16,ATTO,1,0.5
LAW129,2022,16,ERNA10,7,3.5
LAW129,2022,16,COAR4,1,0.5
LAW129,2022,17,ERNA10,21,10.5
LAW129,2022,17,SATR12,1,0.5
LAW129,2022,18,ERNA10,37,18.5
LAW129,2022,18,SATR12,2,1
LAW129,2022,19,SATR12,6,3
LAW129,2022,19,ERNA10,3,1.5
LAW129,2022,19,ATPO,6,3
LAW129,2022,19,ATCA2,9,4.5
LAW129,2022,20,ERNA10,3,1.5
LAW129,2022,20,SATR12,24,12
LAW129,2022,20,ATCA2,3,1.5
LAW129,2022,20,ATPO,1,0.5
LAW129,2022,20,ATTO,1,0.5
LAW095,2022,21,SATR12,1,0.5
LAW095,2022,21,ATCA2,5,2.5
LAW095,2022,21,SPAI,4,2
LAW095,2022,21,ERNA10,5,2.5
LAW095,2022,21,ATPO,35,17.5
LAW095,2022,21,AMDU2,2,1
LAW095,2022,22,ATTO,2,1
LAW095,2022,22,ATCA2,12,6
LAW095,2022,22,ATPO,20,10
LAW095,2022,22,SATR12,2,1
LAW095,2022,22,ERNA10,3,1.5
LAW095,2022,23,SATR12,4,2
LAW095,2022,23,SPAI,3,1.5
