Parcel,Year,Transect,Transect Unique ID,Species,Lifecycle,Lifeform,Vegetation Type,Hits,Cover (%)
LAW129_118,2022,1,LAW129_1,ERNA10,Perennial,Shrub,shrub,22,11
LAW129_118,2022,1,LAW129_1,ATCA2,Perennial,Shrub,shrub,8,4
LAW129_118,2022,1,LAW129_1,SATR12,Annual,Herb,weed,3,1.5
LAW129_118,2022,1,LAW129_1,IVAX,Perennial,Herb,weed,1,0.5
LAW129_118,2022,2,LAW129_2,ERNA10,Perennial,Shrub,shrub,36,18
LAW129_118,2022,3,LAW129_3,SATR12,Annual,Herb,weed,3,1.5
LAW129_118,2022,3,LAW129_3,ATPO,Perennial,Shrub,shrub,9,4.5
LAW129_118,2022,3,LAW129_3,ERNA10,Perennial,Shrub,shrub,37,18.5
LAW129_118,2022,3,LAW129_3,ATCA2,Perennial,Shrub,shrub,1,0.5
LAW129_118,2022,4,LAW129_4,ERNA10,Perennial,Shrub,shrub,18,9
LAW129_118,2022,4,LAW129_4,SATR12,Annual,Herb,weed,10,5
LAW129_118,2022,4,LAW129_4,COCA5,Annual,Herb,weed,5,2.5
LAW129_118,2022,4,LAW129_4,ATPO,Perennial,Shrub,shrub,4,2
LAW129_118,2022,4,LAW129_4,COAR4,Perennial,Herb,weed,4,2
LAW129_118,2022,4,LAW129_4,MEOF,Annual/Biennial,Herb,weed,1,0.5
LAW129_118,2022,4,LAW129_4,SPAI,Perennial,Grass,grass,2,1
LAW129_118,2022,5,LAW129_5,ERNA10,Perennial,Shrub,shrub,13,6.5
LAW129_118,2022,5,LAW129_5,ATCA2,Perennial,Shrub,shrub,12,6
LAW129_118,2022,5,LAW129_5,SATR12,Annual,Herb,weed,3,1.5
LAW129_118,2022,6,LAW129_6,SATR12,Annual,Herb,weed,3,1.5
LAW129_118,2022,6,LAW129_6,ERNA10,Perennial,Shrub,shrub,21,10.5
LAW129_118,2022,6,LAW129_6,ATCA2,Perennial,Shrub,shrub,15,7.5
LAW129_118,2022,6,LAW129_6,ATPO,Perennial,Shrub,shrub,5,2.5
LAW129_118,2022,7,LAW129_7,ERNA10,Perennial,Shrub,shrub,1,0.5
LAW129_118,2022,7,LAW129_7,ATCA2,Perennial,Shrub,shrub,9,4.5
LAW129_118,2022,7,LAW129_7,SATR12,Annual,Herb,weed,11,5.5
LAW129_118,2022,7,LAW129_7,COCA5,Annual,Herb,weed,1,0.5
LAW129_118,2022,7,LAW129_7,ATPO,Perennial,Shrub,shrub,11,5.5
LAW129_118,2022,7,LAW129_7,COAR4,Perennial,Herb,weed,1,0.5
LAW129_118,2022,7,LAW129_7,KRLA2,Perennial,Shrub,shrub,3,1.5
LAW129_118,2022,8,LAW129_8,ATCA2,Perennial,Shrub,shrub,11,5.5
LAW129_118,2022,8,LAW129_8,ERNA10,Perennial,Shrub,shrub,17,8.5
LAW129_118,2022,8,LAW129_8,ATPO,Perennial,Shrub,shrub,3,1.5
LAW129_118,2022,9,LAW129_9,ATCA2,Perennial,Shrub,shrub,13,6.5
LAW129_118,2022,9,LAW129_9,ERNA10,Perennial,Shrub,shrub,22,11
LAW129_118,2022,9,LAW129_9,ATPO,Perennial,Shrub,shrub,7,3.5
LAW129_118,2022,9,LAW129_9,DISP,Perennial,Grass,grass,1,0.5
LAW129_118,2022,9,LAW129_9,SATR12,Annual,Herb,weed,1,0.5
LAW129_118,2022,10,LAW129_10,ATPO,Perennial,Shrub,shrub,3,1.5
LAW129_118,2022,10,LAW129_10,ATCA2,Perennial,Shrub,shrub,29,14.5
LAW129_118,2022,10,LAW129_10,ERNA10,Perennial,Shrub,shrub,1,0.5
LAW129_118,2022,11,LAW129_11,COAR4,Perennial,Herb,weed,3,1.5
LAW129_118,2022,11,LAW129_11,ERNA10,Perennial,Shrub,shrub,22,11
LAW129_118,2022,11,LAW129_11,ATPO,Perennial,Shrub,shrub,6,3
LAW129_118,2022,11,LAW129_11,CLLU2,Annual,Herb,weed,2,1
LAW129_118,2022,12,LAW129_12,ATCA2,Perennial,Shrub,shrub,2,1
LAW129_118,2022,12,LAW129_12,ERNA10,Perennial,Shrub,shrub,3,1.5
LAW129_118,2022,12,LAW129_12,ATPO,Perennial,Shrub,shrub,26,13
LAW129_118,2022,12,LAW129_12,SATR12,Annual,Herb,weed,11,5.5
LAW129_118,2022,12,LAW129_12,COAR4,Perennial,Herb,weed,1,0.5
LAW129_118,2022,13,LAW129_13,ERNA10,Perennial,Shrub,shrub,39,19.5
LAW129_118,2022,13,LAW129_13,SATR12,Annual,Herb,weed,1,0.5
LAW129_118,2022,14,LAW129_14,ERNA10,Perennial,Shrub,shrub,59,29.5
LAW129_118,2022,14,LAW129_14,IVAX,Perennial,Herb,weed,2,1
LAW129_118,2022,15,LAW129_15,ERNA10,Perennial,Shrub,shrub,68,34
LAW129_118,2022,15,LAW129_15,KRLA2,Perennial,Shrub,shrub,1,0.5
LAW129_118,2022,16,LAW129_16,SATR12,Annual,Herb,weed,10,5
LAW129_118,2022,16,LAW129_16,ATTO,Perennial,Shrub,shrub,1,0.5
LAW129_118,2022,16,LAW129_16,ERNA10,Perennial,Shrub,shrub,7,3.5
LAW129_118,2022,16,LAW129_16,COAR4,Perennial,Herb,weed,1,0.5
LAW129_118,2022,17,LAW129_17,ERNA10,Perennial,Shrub,shrub,21,10.5
LAW129_118,2022,17,LAW129_17,SATR12,Annual,Herb,weed,1,0.5
LAW129_118,2022,18,LAW129_18,ERNA10,Perennial,Shrub,shrub,37,18.5
LAW129_118,2022,18,LAW129_18,SATR12,Annual,Herb,weed,2,1
