parcel,year,transect,species,hits
LAW028,2025,11,PSARM,4
LAW028,2025,11,ATCO,3
LAW028,2025,11,LYAN,2
LAW028,2025,9,PSARM,3
LAW028,2025,9,ATCO,2
LAW028,2025,9,PSPO,1
LAW028,2025,12,PSARM,11
LAW028,2025,12,ATCO,1
LAW028,2025,12,LYAN,3
LAW028,2025,12,KRLA2,1
LAW028,2025,13,PSARM,7
LAW028,2025,13,ATCO,1
LAW028,2025,13,LYAN,3
LAW028,2025,13,KRLA2,4
LAW028,2025,1,PSARM,7
LAW028,2025,1,ATCO,4
LAW028,2025,5,LYAN,1
LAW028,2025,5,ATCO,3
LAW028,2025,5,PSARM,1
LAW028,2025,18,KRLA2,4
LAW028,2025,18,PSPO,5
LAW028,2025,18,ATCO,1
LAW028,2025,18,ACHY,1
LAW028,2025,18,SATR12,1
LAW028,2025,4,ATCO,7
LAW028,2025,4,PSARM,11
LAW028,2025,20,KRLA2,2
LAW028,2025,20,ATCO,4
LAW028,2025,20,PSARM,9
LAW028,2025,15,ATCO,2
LAW028,2025,15,SATR12,5
LAW028,2025,2,ATCO,1
LAW028,2025,2,SATR12,1
LAW028,2025,2,PSARM,6
LAW028,2025,2,EPVI,3
LAW028,2025,2,TEAX,1
LAW028,2025,3,SATR12,3
LAW028,2025,3,ATCO,1
LAW028,2025,3,PSARM,12
LAW028,2025,8,SATR12,1
LAW028,2025,8,ATCO,2
LAW028,2025,8,PSARM,8
LAW028,2025,8,LEFR2,2
LAW028,2025,14,ATCO,3
LAW028,2025,14,PSARM,13
LAW028,2025,14,LYAN,2
LAW028,2025,14,KRLA2,1
LAW028,2025,7,SATR12,3
LAW028,2025,7,ATCO,1
LAW028,2025,7,PSARM,4
LAW028,2025,6,SATR12,1
LAW028,2025,6,ATCO,4
LAW028,2025,6,PSARM,10
LAW028,2025,6,LEFR2,1
LAW028,2025,16,PSARM,8
LAW028,2025,16,ATCO,1
LAW028,2025,16,SATR12,2
LAW028,2025,19,PSARM,4
LAW028,2025,19,ATCO,3
LAW028,2025,19,SATR12,2
LAW028,2025,10,PSARM,8
LAW028,2025,10,ATCO,5
LAW028,2025,10,KRLA2,3
LAW028,2025,17,ATCO,11
LAW028,2025,17,SATR12,3
LAW049,2025,5,PSARM,11
LAW049,2025,5,XYTO2,1
LAW049,2025,5,ATCO,2
LAW049,2025,1,PSARM,10
LAW049,2025,1,XYTO2,3
LAW049,2025,7,PSARM,2
LAW049,2025,7,SATR12,1
LAW049,2025,3,ATCO,4
LAW049,2025,3,SATR12,6
LAW049,2025,9,PSARM,7
LAW049,2025,9,ATCO,5
LAW049,2025,9,LYAN,1
LAW049,2025,10,ATCO,7
LAW049,2025,10,KRLA2,2
LAW049,2025,2,ATCO,4
LAW049,2025,2,SATR12,1
LAW049,2025,6,KRLA2,1
LAW049,2025,6,SATR12,12
