Parcel,Year,Mean Cover (%),Standard Deviation,Standard Error,Total Cover (%)
LAW012,2024,6.1,2.2,0.4,368
LAW012,2025,5.6,2.7,0.4,450
LAW024,2024,7.3,2.9,0.9,147
LAW024,2025,8.3,2.6,0.8,167
LAW028,2022,4,2.7,1,56
LAW028,2024,7.1,2.6,0.6,283
LAW028,2025,6.2,2,0.5,248
LAW029,2022,6.1,3,0.7,243
LAW029,2023,12.8,7.1,1.1,1026
LAW039,2023,8.8,2.2,0.6,211
LAW048,2022,14.6,5.8,2.2,204
LAW048,2025,9.1,3.3,1.2,146
LAW049,2022,8.5,7.2,1.3,562
LAW049,2025,4.7,2.4,0.8,94
LAW069,2023,19.4,7.7,2.2,466
LAW091,2022,9,NA,NA,18
LAW091,2025,14.3,2.8,1,229
LAW093,2022,6.7,2.7,0.7,187
LAW093,2025,11.7,4.2,1.9,117
LAW104,2023,13.9,6,1.7,334
LAW117,2022,4.6,2,0.3,446
LAW117,2025,7.1,2.7,0.5,426
LAW119,2023,25.6,11.8,1.5,3173
LAW130,2024,5.4,2,0.6,109
LAW130,2025,7.3,2.3,0.7,146
LAW134,2024,6.7,4.8,1.1,268
LAW134,2025,8.4,3.1,0.7,338
PLC202,2023,13.7,5.5,1.6,329
PLC219,2022,8.1,2.8,0.6,307
PLC219,2023,8.9,3.6,0.7,514
PLC227,2023,9.4,4.9,0.9,602
PLC230,2023,12.3,5.8,0.9,986
