Parcel,Year,Transect ID,Cover (%),Grass,Herb,Shrub,Tree
LAW090,2022,LAW090_61,14.5,1,0,11,2.5
LAW090,2022,LAW090_62,16,0,0.5,15.5,0
LAW090,2022,LAW090_63,13.5,0,0,13.5,0
LAW090,2022,LAW090_64,10.5,0,0,10.5,0
LAW090,2022,LAW090_65,21.5,0,0,21.5,0
LAW090,2022,LAW090_66,16.5,0,0,16.5,0
LAW090,2022,LAW090_67,16.5,1,0,15.5,0
LAW090,2022,LAW090_68,7.5,0,0,7.5,0
LAW090,2022,LAW090_69,13.5,0,0,13.5,0
LAW090,2022,LAW090_70,11.5,0,1,10.5,0
LAW090,2022,LAW090_71,7,0,0,7.000000000000001,0
LAW090,2022,LAW090_72,12.5,0,0,12.5,0
LAW090,2022,LAW090_73,22,0,0,22,0
LAW090,2022,LAW090_74,27,2.5,0,24.5,0
LAW090,2022,LAW090_75,21,0,0,21,0
LAW090,2022,LAW090_76,17,0,0,17,0
LAW090,2022,LAW090_77,16,0,0,16,0
LAW090,2022,LAW090_78,17.5,0,0,17.5,0
LAW090,2022,LAW090_79,9.5,0,0,9.5,0
LAW090,2022,LAW090_80,23.5,0,0,23.5,0
LAW090,2024,LAW090_61,28.5,0,0,24,4.5
LAW090,2024,LAW090_62,14,0,0,14.000000000000002,0
LAW090,2024,LAW090_63,17.5,0,0,17.5,0
LAW090,2024,LAW090_64,5,0,0,5,0
LAW090,2024,LAW090_65,20,0,0,20,0
LAW090,2024,LAW090_66,11.5,0,0,11.5,0
LAW090,2024,LAW090_67,4.5,0,0,4.5,0
LAW090,2024,LAW090_68,10,0,0,10,0
LAW090,2024,LAW090_69,4.5,0,0,4.5,0
LAW090,2024,LAW090_70,9,0,0,9,0
LAW090,2024,LAW090_71,6.5,0,0,6.5,0
LAW090,2024,LAW090_72,10.5,0,0,10.5,0
LAW090,2024,LAW090_73,23,0,0,23,0
LAW090,2024,LAW090_74,15.5,0,0,15.5,0
LAW090,2024,LAW090_75,19.5,0,0,19.5,0
LAW090,2024,LAW090_76,13.5,0,0,13.5,0
LAW090,2024,LAW090_77,11.5,0,0,11.5,0
LAW090,2024,LAW090_78,17.5,0,0,17.5,0
LAW090,2024,LAW090_79,10.5,0,0,10.5,0
LAW090,2024,LAW090_80,13.5,0,0,13.5,0
LAW090,2025,LAW090_1,14,0,0,14.000000000000002,0
LAW090,2025,LAW090_10,10,0,0,10,0
LAW090,2025,LAW090_2,6,0,0,6,0
LAW090,2025,LAW090_3,8,0,0,8,0
LAW090,2025,LAW090_4,17.5,0,0,17.5,0
LAW090,2025,LAW090_5,18,0,0,18,0
LAW090,2025,LAW090_6,16.5,0,0,16.5,0
LAW090,2025,LAW090_61,14,0,0,14.000000000000002,0
LAW090,2025,LAW090_62,18.5,0,0,18.5,0
LAW090,2025,LAW090_63,2,0,0,2,0
LAW090,2025,LAW090_64,7,0,0,7.000000000000001,0
LAW090,2025,LAW090_65,12,0,0.5,11.5,0
LAW090,2025,LAW090_66,8,0,0,8,0
LAW090,2025,LAW090_67,12,0,0,12,0
LAW090,2025,LAW090_68,8.5,0,0,8.5,0
LAW090,2025,LAW090_69,5,0,0,5,0
LAW090,2025,LAW090_7,9.5,0,0,9.5,0
LAW090,2025,LAW090_70,8.5,0,0,8.5,0
LAW090,2025,LAW090_71,5.5,0,0,5.5,0
LAW090,2025,LAW090_72,10.5,0,0,10.5,0
LAW090,2025,LAW090_73,22,0,0,22,0
LAW090,2025,LAW090_74,17.5,0,0,17.5,0
LAW090,2025,LAW090_75,17,0,0,17,0
LAW090,2025,LAW090_76,14.5,0,0,14.499999999999998,0
LAW090,2025,LAW090_77,14.5,0,0,14.499999999999998,0
LAW090,2025,LAW090_78,16,0,0,16,0
LAW090,2025,LAW090_79,7,0,0,7.000000000000001,0
LAW090,2025,LAW090_8,8.5,0,0,8.5,0
LAW090,2025,LAW090_80,18,0,0,18,0
